param_id,mean_rsquared,mean_rmse,ub_rsquared,lb_rsquared,ub_rmse,lb_rmse
3,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA
138,NA,NA,NA,NA,NA,NA
147,NA,NA,NA,NA,NA,NA
148,NA,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,NA
168,NA,NA,NA,NA,NA,NA
199,NA,NA,NA,NA,NA,NA
201,NA,NA,NA,NA,NA,NA
