param_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
51,surprisal,0,5,500,5,20,999,999,999,1,10.0,10.0,0.0001,0.001,0.5,0.6,5
52,surprisal,0,5,500,5,20,999,999,999,1,10.0,10.0,0.0001,0.001,1.0,0.3,5
53,surprisal,0,5,500,5,20,999,999,999,1,10.0,10.0,0.0001,0.001,1.0,0.6,5
54,surprisal,0,5,500,5,20,999,999,999,2,0.1,0.1,0.0001,0.001,0.1,0.3,5
55,surprisal,0,5,500,5,20,999,999,999,2,0.1,0.1,0.0001,0.001,0.1,0.6,5
56,surprisal,0,5,500,5,20,999,999,999,2,0.1,0.1,0.0001,0.001,0.5,0.3,5
57,surprisal,0,5,500,5,20,999,999,999,2,0.1,0.1,0.0001,0.001,0.5,0.6,5
58,surprisal,0,5,500,5,20,999,999,999,2,0.1,0.1,0.0001,0.001,1.0,0.3,5
59,surprisal,0,5,500,5,20,999,999,999,2,0.1,0.1,0.0001,0.001,1.0,0.6,5
60,surprisal,0,5,500,5,20,999,999,999,2,0.1,1.0,0.0001,0.001,0.1,0.3,5
61,surprisal,0,5,500,5,20,999,999,999,2,0.1,1.0,0.0001,0.001,0.1,0.6,5
62,surprisal,0,5,500,5,20,999,999,999,2,0.1,1.0,0.0001,0.001,0.5,0.3,5
63,surprisal,0,5,500,5,20,999,999,999,2,0.1,1.0,0.0001,0.001,0.5,0.6,5
64,surprisal,0,5,500,5,20,999,999,999,2,0.1,1.0,0.0001,0.001,1.0,0.3,5
65,surprisal,0,5,500,5,20,999,999,999,2,0.1,1.0,0.0001,0.001,1.0,0.6,5
66,surprisal,0,5,500,5,20,999,999,999,2,0.1,10.0,0.0001,0.001,0.1,0.3,5
67,surprisal,0,5,500,5,20,999,999,999,2,0.1,10.0,0.0001,0.001,0.1,0.6,5
68,surprisal,0,5,500,5,20,999,999,999,2,0.1,10.0,0.0001,0.001,0.5,0.3,5
69,surprisal,0,5,500,5,20,999,999,999,2,0.1,10.0,0.0001,0.001,0.5,0.6,5
70,surprisal,0,5,500,5,20,999,999,999,2,0.1,10.0,0.0001,0.001,1.0,0.3,5
71,surprisal,0,5,500,5,20,999,999,999,2,0.1,10.0,0.0001,0.001,1.0,0.6,5
72,surprisal,0,5,500,5,20,999,999,999,2,1.0,0.1,0.0001,0.001,0.1,0.3,5
73,surprisal,0,5,500,5,20,999,999,999,2,1.0,0.1,0.0001,0.001,0.1,0.6,5
74,surprisal,0,5,500,5,20,999,999,999,2,1.0,0.1,0.0001,0.001,0.5,0.3,5
75,surprisal,0,5,500,5,20,999,999,999,2,1.0,0.1,0.0001,0.001,0.5,0.6,5
76,surprisal,0,5,500,5,20,999,999,999,2,1.0,0.1,0.0001,0.001,1.0,0.3,5
77,surprisal,0,5,500,5,20,999,999,999,2,1.0,0.1,0.0001,0.001,1.0,0.6,5
78,surprisal,0,5,500,5,20,999,999,999,2,1.0,1.0,0.0001,0.001,0.1,0.3,5
79,surprisal,0,5,500,5,20,999,999,999,2,1.0,1.0,0.0001,0.001,0.1,0.6,5
80,surprisal,0,5,500,5,20,999,999,999,2,1.0,1.0,0.0001,0.001,0.5,0.3,5
81,surprisal,0,5,500,5,20,999,999,999,2,1.0,1.0,0.0001,0.001,0.5,0.6,5
82,surprisal,0,5,500,5,20,999,999,999,2,1.0,1.0,0.0001,0.001,1.0,0.3,5
83,surprisal,0,5,500,5,20,999,999,999,2,1.0,1.0,0.0001,0.001,1.0,0.6,5
84,surprisal,0,5,500,5,20,999,999,999,2,1.0,10.0,0.0001,0.001,0.1,0.3,5
85,surprisal,0,5,500,5,20,999,999,999,2,1.0,10.0,0.0001,0.001,0.1,0.6,5
86,surprisal,0,5,500,5,20,999,999,999,2,1.0,10.0,0.0001,0.001,0.5,0.3,5
87,surprisal,0,5,500,5,20,999,999,999,2,1.0,10.0,0.0001,0.001,0.5,0.6,5
88,surprisal,0,5,500,5,20,999,999,999,2,1.0,10.0,0.0001,0.001,1.0,0.3,5
89,surprisal,0,5,500,5,20,999,999,999,2,1.0,10.0,0.0001,0.001,1.0,0.6,5
90,surprisal,0,5,500,5,20,999,999,999,2,10.0,0.1,0.0001,0.001,0.1,0.3,5
91,surprisal,0,5,500,5,20,999,999,999,2,10.0,0.1,0.0001,0.001,0.1,0.6,5
92,surprisal,0,5,500,5,20,999,999,999,2,10.0,0.1,0.0001,0.001,0.5,0.3,5
93,surprisal,0,5,500,5,20,999,999,999,2,10.0,0.1,0.0001,0.001,0.5,0.6,5
94,surprisal,0,5,500,5,20,999,999,999,2,10.0,0.1,0.0001,0.001,1.0,0.3,5
95,surprisal,0,5,500,5,20,999,999,999,2,10.0,0.1,0.0001,0.001,1.0,0.6,5
96,surprisal,0,5,500,5,20,999,999,999,2,10.0,1.0,0.0001,0.001,0.1,0.3,5
97,surprisal,0,5,500,5,20,999,999,999,2,10.0,1.0,0.0001,0.001,0.1,0.6,5
98,surprisal,0,5,500,5,20,999,999,999,2,10.0,1.0,0.0001,0.001,0.5,0.3,5
99,surprisal,0,5,500,5,20,999,999,999,2,10.0,1.0,0.0001,0.001,0.5,0.6,5
100,surprisal,0,5,500,5,20,999,999,999,2,10.0,1.0,0.0001,0.001,1.0,0.3,5
101,surprisal,0,5,500,5,20,999,999,999,2,10.0,1.0,0.0001,0.001,1.0,0.6,5
102,surprisal,0,5,500,5,20,999,999,999,2,10.0,10.0,0.0001,0.001,0.1,0.3,5
103,surprisal,0,5,500,5,20,999,999,999,2,10.0,10.0,0.0001,0.001,0.1,0.6,5
104,surprisal,0,5,500,5,20,999,999,999,2,10.0,10.0,0.0001,0.001,0.5,0.3,5
105,surprisal,0,5,500,5,20,999,999,999,2,10.0,10.0,0.0001,0.001,0.5,0.6,5
106,surprisal,0,5,500,5,20,999,999,999,2,10.0,10.0,0.0001,0.001,1.0,0.3,5
107,surprisal,0,5,500,5,20,999,999,999,2,10.0,10.0,0.0001,0.001,1.0,0.6,5
108,surprisal,0,5,500,5,20,999,999,999,3,0.1,0.1,0.0001,0.001,0.1,0.3,5
109,surprisal,0,5,500,5,20,999,999,999,3,0.1,0.1,0.0001,0.001,0.1,0.6,5
110,surprisal,0,5,500,5,20,999,999,999,3,0.1,0.1,0.0001,0.001,0.5,0.3,5
111,surprisal,0,5,500,5,20,999,999,999,3,0.1,0.1,0.0001,0.001,0.5,0.6,5
112,surprisal,0,5,500,5,20,999,999,999,3,0.1,0.1,0.0001,0.001,1.0,0.3,5
113,surprisal,0,5,500,5,20,999,999,999,3,0.1,0.1,0.0001,0.001,1.0,0.6,5
114,surprisal,0,5,500,5,20,999,999,999,3,0.1,1.0,0.0001,0.001,0.1,0.3,5
115,surprisal,0,5,500,5,20,999,999,999,3,0.1,1.0,0.0001,0.001,0.1,0.6,5
116,surprisal,0,5,500,5,20,999,999,999,3,0.1,1.0,0.0001,0.001,0.5,0.3,5
117,surprisal,0,5,500,5,20,999,999,999,3,0.1,1.0,0.0001,0.001,0.5,0.6,5
118,surprisal,0,5,500,5,20,999,999,999,3,0.1,1.0,0.0001,0.001,1.0,0.3,5
119,surprisal,0,5,500,5,20,999,999,999,3,0.1,1.0,0.0001,0.001,1.0,0.6,5
120,surprisal,0,5,500,5,20,999,999,999,3,0.1,10.0,0.0001,0.001,0.1,0.3,5
121,surprisal,0,5,500,5,20,999,999,999,3,0.1,10.0,0.0001,0.001,0.1,0.6,5
122,surprisal,0,5,500,5,20,999,999,999,3,0.1,10.0,0.0001,0.001,0.5,0.3,5
123,surprisal,0,5,500,5,20,999,999,999,3,0.1,10.0,0.0001,0.001,0.5,0.6,5
124,surprisal,0,5,500,5,20,999,999,999,3,0.1,10.0,0.0001,0.001,1.0,0.3,5
125,surprisal,0,5,500,5,20,999,999,999,3,0.1,10.0,0.0001,0.001,1.0,0.6,5
126,surprisal,0,5,500,5,20,999,999,999,3,1.0,0.1,0.0001,0.001,0.1,0.3,5
