trial_id,param_id,sample_n_mean,sample_n_std,Unnamed: 0,embedding_type,feature_n,fam_duration,test_type,fam,test,violation_type,stim_id,linking_hypothesis,mu_prior,hypothetical_obs_grid_n,max_observation,batch_n,jitter_n,quad_a,quad_b,quad_c,V_prior,alpha_prior,beta_prior,epsilon,mu_epsilon,sd_epsilon,world_EIGs,forced_exposure_max
1,0,32.98947916666667,39.94677825809929,48,resnet_pa,3,0,novel,animate_001_left.png,animate_002_left.png,identity,0,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,49,resnet_pa,3,0,novel,animate_002_left.png,animate_001_left.png,identity,1,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,50,resnet_pa,3,0,novel,animate_001_right.png,animate_002_right.png,identity,2,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,51,resnet_pa,3,0,novel,animate_002_right.png,animate_001_right.png,identity,3,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,52,resnet_pa,3,0,novel,animate_003_left.png,animate_004_left.png,identity,4,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,53,resnet_pa,3,0,novel,animate_004_left.png,animate_003_left.png,identity,5,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,54,resnet_pa,3,0,novel,animate_003_right.png,animate_004_right.png,identity,6,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,55,resnet_pa,3,0,novel,animate_004_right.png,animate_003_right.png,identity,7,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,56,resnet_pa,3,0,novel,animate_005_left.png,animate_006_left.png,identity,8,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,57,resnet_pa,3,0,novel,animate_006_left.png,animate_005_left.png,identity,9,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,58,resnet_pa,3,0,novel,animate_005_right.png,animate_006_right.png,identity,10,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,59,resnet_pa,3,0,novel,animate_006_right.png,animate_005_right.png,identity,11,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,60,resnet_pa,3,0,novel,animate_007_left.png,animate_008_left.png,identity,12,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,61,resnet_pa,3,0,novel,animate_008_left.png,animate_007_left.png,identity,13,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,62,resnet_pa,3,0,novel,animate_007_right.png,animate_008_right.png,identity,14,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,63,resnet_pa,3,0,novel,animate_008_right.png,animate_007_right.png,identity,15,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,64,resnet_pa,3,0,novel,animate_009_left.png,animate_010_left.png,identity,16,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,65,resnet_pa,3,0,novel,animate_010_left.png,animate_009_left.png,identity,17,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,66,resnet_pa,3,0,novel,animate_009_right.png,animate_010_right.png,identity,18,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,67,resnet_pa,3,0,novel,animate_010_right.png,animate_009_right.png,identity,19,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,68,resnet_pa,3,0,novel,animate_011_left.png,animate_012_left.png,identity,20,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,69,resnet_pa,3,0,novel,animate_012_left.png,animate_011_left.png,identity,21,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,70,resnet_pa,3,0,novel,animate_011_right.png,animate_012_right.png,identity,22,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
1,0,32.98947916666667,39.94677825809929,71,resnet_pa,3,0,novel,animate_012_right.png,animate_012_right.png,identity,23,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,120,resnet_pa,3,1,fam,animate_001_left.png,animate_001_left.png,background,24,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,121,resnet_pa,3,1,fam,animate_002_left.png,animate_002_left.png,background,25,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,122,resnet_pa,3,1,fam,animate_001_right.png,animate_001_right.png,background,26,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,123,resnet_pa,3,1,fam,animate_002_right.png,animate_002_right.png,background,27,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,124,resnet_pa,3,1,fam,animate_003_left.png,animate_003_left.png,background,28,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,125,resnet_pa,3,1,fam,animate_004_left.png,animate_004_left.png,background,29,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,126,resnet_pa,3,1,fam,animate_003_right.png,animate_003_right.png,background,30,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,127,resnet_pa,3,1,fam,animate_004_right.png,animate_004_right.png,background,31,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,128,resnet_pa,3,1,fam,animate_005_left.png,animate_005_left.png,background,32,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,129,resnet_pa,3,1,fam,animate_006_left.png,animate_006_left.png,background,33,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,130,resnet_pa,3,1,fam,animate_005_right.png,animate_005_right.png,background,34,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,131,resnet_pa,3,1,fam,animate_006_right.png,animate_006_right.png,background,35,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,132,resnet_pa,3,1,fam,animate_007_left.png,animate_007_left.png,background,36,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,133,resnet_pa,3,1,fam,animate_008_left.png,animate_008_left.png,background,37,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,134,resnet_pa,3,1,fam,animate_007_right.png,animate_007_right.png,background,38,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,135,resnet_pa,3,1,fam,animate_008_right.png,animate_008_right.png,background,39,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,136,resnet_pa,3,1,fam,animate_009_left.png,animate_009_left.png,background,40,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,137,resnet_pa,3,1,fam,animate_010_left.png,animate_010_left.png,background,41,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,138,resnet_pa,3,1,fam,animate_009_right.png,animate_009_right.png,background,42,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,139,resnet_pa,3,1,fam,animate_010_right.png,animate_010_right.png,background,43,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,140,resnet_pa,3,1,fam,animate_011_left.png,animate_011_left.png,background,44,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,141,resnet_pa,3,1,fam,animate_012_left.png,animate_012_left.png,background,45,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,142,resnet_pa,3,1,fam,animate_011_right.png,animate_011_right.png,background,46,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
2,0,30.311770833333334,37.341752139540496,143,resnet_pa,3,1,fam,animate_012_right.png,animate_012_right.png,background,47,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,144,resnet_pa,3,1,novel,animate_001_left.png,animate_002_left.png,identity,0,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,145,resnet_pa,3,1,novel,animate_002_left.png,animate_001_left.png,identity,1,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,146,resnet_pa,3,1,novel,animate_001_right.png,animate_002_right.png,identity,2,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,147,resnet_pa,3,1,novel,animate_002_right.png,animate_001_right.png,identity,3,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,148,resnet_pa,3,1,novel,animate_003_left.png,animate_004_left.png,identity,4,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,149,resnet_pa,3,1,novel,animate_004_left.png,animate_003_left.png,identity,5,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,150,resnet_pa,3,1,novel,animate_003_right.png,animate_004_right.png,identity,6,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,151,resnet_pa,3,1,novel,animate_004_right.png,animate_003_right.png,identity,7,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,152,resnet_pa,3,1,novel,animate_005_left.png,animate_006_left.png,identity,8,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,153,resnet_pa,3,1,novel,animate_006_left.png,animate_005_left.png,identity,9,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,154,resnet_pa,3,1,novel,animate_005_right.png,animate_006_right.png,identity,10,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,155,resnet_pa,3,1,novel,animate_006_right.png,animate_005_right.png,identity,11,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,156,resnet_pa,3,1,novel,animate_007_left.png,animate_008_left.png,identity,12,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
3,0,30.999895833333333,38.54230807906298,157,resnet_pa,3,1,novel,animate_008_left.png,animate_007_left.png,identity,13,surprisal,0,5,500,20,20,999,999,999,1,0.1,0.1,0.0001,0.001,0.1,0.5,3
