trial_id,stim_id,param_id,index,sample_n_mean,sample_n_std
0,780,65,0,20.05,25.621691057219053
0,650,22,0,25.95,21.58331470567509
0,780,65,0,9.6,6.816388918975855
0,617,108,0,28.95,29.720584750215412
0,650,22,0,32.35,33.989588189078695
0,780,65,0,11.0,12.294628694549589
0,780,65,0,17.8,17.60263138223792
0,1495,65,0,7.45,7.584436973864726
0,650,22,0,29.85,24.536278189008637
0,1495,65,0,7.4,9.29855676407564
0,617,108,0,48.8,43.497852336577914
0,650,22,0,14.3,10.508643059280699
0,1495,65,0,14.85,14.77649271113092
0,617,108,0,24.65,25.388092940547832
0,1495,65,0,10.7,10.336954656906808
0,650,22,0,29.6,40.62200596254513
0,1495,65,0,10.25,9.667498451812106
0,715,22,0,20.45,31.99584676995306
0,130,65,0,14.95,14.001785600415397
0,130,65,0,9.15,9.039533057339677
0,715,22,0,18.7,20.724000833003164
0,617,108,0,45.4,83.97079692870675
0,130,65,0,16.0,21.57971757290433
0,715,22,0,17.85,18.505404615949363
0,617,108,0,15.6,12.650774887854018
0,130,65,0,12.65,12.372614070897402
0,130,65,0,5.25,4.689012913744549
0,715,22,0,17.65,18.86872935224895
0,1625,65,0,6.85,6.745563844405251
0,1040,108,0,20.25,16.412046281859393
0,1625,65,0,12.4,11.731199965543974
0,1040,108,0,23.9,25.798612773803004
0,1625,65,0,13.3,10.428200631990768
0,715,22,0,45.8,108.53115002761092
0,1625,65,0,10.2,10.630640917451283
0,1040,108,0,19.1,16.421744249942705
0,1625,65,0,11.0,10.234101919819986
0,1365,22,0,25.1,38.24285278942569
0,715,65,0,12.5,20.589982234597787
0,715,65,0,9.6,10.82103215234597
0,1365,22,0,15.8,14.024790081926547
0,1040,108,0,37.9,35.50670803931946
0,1365,22,0,14.3,16.673647660778656
0,715,65,0,18.45,21.112418395965815
0,1040,108,0,19.8,18.21682276301077
0,715,65,0,15.55,27.74598121682148
0,1365,22,0,18.45,15.859498233252095
0,715,65,0,8.9,10.259270518850128
0,1365,22,0,16.4,16.099689437998485
0,910,108,0,23.4,16.582806568377094
0,1300,65,0,13.6,11.39436610555271
0,1300,65,0,9.35,5.091530635332201
0,1560,22,0,20.0,22.29939815095324
0,1300,65,0,11.8,8.587628800842094
0,1560,22,0,22.85,18.938334834820864
0,910,108,0,36.5,34.9969923519752
0,1300,65,0,14.3,12.346318436982274
0,1300,65,0,9.75,10.577408895725286
0,877,65,0,8.95,9.949742128369591
0,1560,22,0,32.25,18.859243161685438
0,910,108,0,28.9,27.00662686706435
0,877,65,0,12.6,16.65880516344687
0,877,65,0,12.25,17.386852261952058
0,910,108,0,20.6,24.0184139885696
0,877,65,0,9.7,11.248859591321386
0,1560,22,0,50.0,85.90018687560091
0,877,65,0,11.8,13.403063279085043
0,942,65,0,12.35,13.390000196533155
0,910,108,0,43.3,66.0088510811439
0,1560,22,0,25.3,17.214131281870536
0,942,65,0,12.35,12.637767124565038
0,942,65,0,14.8,21.162528950457393
0,292,108,0,30.0,32.28002478313794
0,942,65,0,10.75,10.852479706936737
0,1527,22,0,44.05,109.26764581088325
0,942,65,0,15.55,15.63893589057368
0,292,108,0,22.85,22.79260036895631
0,552,65,0,10.75,7.785783265197637
0,1527,22,0,22.8,26.64898536628799
0,552,65,0,11.0,13.711309200802088
0,1527,22,0,20.0,19.434099169406228
0,552,65,0,12.85,14.437797615980076
0,292,108,0,33.25,35.5185274113903
0,552,65,0,10.15,8.13876364592378
0,1527,22,0,21.95,19.50296873487942
0,552,65,0,10.65,8.19675802407654
0,292,108,0,25.65,26.62265556764922
0,1527,22,0,29.85,26.73510406700681
0,130,65,0,25.8,60.508024696163886
0,292,108,0,25.3,22.9509775046958
0,130,65,0,15.05,9.500554000466996
0,1690,22,0,17.75,18.808942442079875
0,130,65,0,14.5,18.819083259735105
0,1690,22,0,25.65,33.17461775451068
0,1852,108,0,36.05,36.83172974202371
0,130,65,0,17.95,26.994102669793794
0,1690,22,0,25.8,37.80643220127329
0,130,65,0,16.0,14.455011878966154
0,325,65,0,16.6,14.601369798755185
0,1690,22,0,22.95,21.610121897413087
0,325,65,0,9.15,9.178206452472647
0,325,65,0,12.45,11.744987732735408
0,325,65,0,7.4,6.159289090898652
0,1690,22,0,41.6,109.08538423011389
0,325,65,0,10.2,6.871757608616512
0,1852,108,0,83.15,147.76591552003353
0,2047,65,0,10.35,10.94135082586866
0,2047,65,0,9.95,8.786802304413255
0,455,22,0,31.45,33.236750427010286
0,2047,65,0,8.65,7.835647287943264
0,1852,108,0,30.15,29.412269190719854
0,2047,65,0,11.2,10.704647293779022
0,455,22,0,22.6,26.688061592759926
0,2047,65,0,11.45,9.121836149418717
0,1852,108,0,29.0,40.721131201328255
0,455,22,0,23.5,26.990251651485696
0,1170,65,0,16.25,15.375561607201286
0,1852,108,0,20.0,17.33873060369093
0,1170,65,0,16.6,12.99554579562997
0,455,22,0,30.9,29.509855623966857
0,1170,65,0,13.85,13.047584975167261
0,1397,108,0,26.8,18.969782064613902
0,1170,65,0,10.1,10.46246423624649
0,1170,65,0,7.65,10.074851442028681
0,455,22,0,36.45,59.99603057045129
0,422,65,0,19.3,14.811446498179071
0,1430,22,0,19.75,16.939132519887664
0,422,65,0,9.35,8.505570929814485
0,1397,108,0,43.6,38.80640207627169
0,422,65,0,16.15,18.20432279490376
0,1430,22,0,25.8,31.74172084347764
0,422,65,0,9.05,8.268360748883918
0,422,65,0,7.5,5.771983149116447
0,1397,108,0,36.85,49.17987928325759
0,1852,65,0,7.9,4.115439478994091
0,1430,22,0,27.95,26.06969404056022
0,1852,65,0,13.9,17.25627269628123
0,1430,22,0,22.15,18.11447516563248
