,sample_n,run_id,v_type
5,8,10,number
0,20,10,pose
1,3,10,pose
2,1,10,pose
3,9,10,pose
4,8,10,pose
5,5,10,pose
0,13,10,animacy
1,3,10,animacy
2,5,10,animacy
3,22,10,animacy
4,2,10,animacy
5,1,10,animacy
0,1,11,background
1,4,11,background
2,36,11,background
3,45,11,background
4,1,11,background
5,2,11,background
0,1,11,identity
1,7,11,identity
2,76,11,identity
3,2,11,identity
4,2,11,identity
5,1,11,identity
0,1,11,number
1,13,11,number
2,69,11,number
3,1,11,number
4,1,11,number
5,2,11,number
0,4,11,pose
1,1,11,pose
2,75,11,pose
3,2,11,pose
4,1,11,pose
5,1,11,pose
0,1,11,animacy
1,4,11,animacy
2,39,11,animacy
3,37,11,animacy
4,4,11,animacy
5,3,11,animacy
0,47,12,background
1,46,12,background
2,44,12,background
3,10,12,background
4,43,12,background
5,6,12,background
0,16,12,identity
1,4,12,identity
2,32,12,identity
3,4,12,identity
4,1,12,identity
5,23,12,identity
0,69,12,number
1,27,12,number
2,11,12,number
3,19,12,number
4,6,12,number
5,78,12,number
0,102,12,pose
1,3,12,pose
2,8,12,pose
3,41,12,pose
4,27,12,pose
5,4,12,pose
0,3,12,animacy
1,118,12,animacy
2,28,12,animacy
3,7,12,animacy
4,18,12,animacy
5,1,12,animacy
0,1,13,background
1,1,13,background
2,2,13,background
3,1,13,background
4,1,13,background
5,2,13,background
0,1,13,identity
1,1,13,identity
2,2,13,identity
3,2,13,identity
4,2,13,identity
5,2,13,identity
0,1,13,number
1,1,13,number
2,2,13,number
3,1,13,number
4,3,13,number
5,2,13,number
0,1,13,pose
1,1,13,pose
2,2,13,pose
3,1,13,pose
4,1,13,pose
5,2,13,pose
0,1,13,animacy
1,1,13,animacy
2,2,13,animacy
3,2,13,animacy
4,3,13,animacy
5,2,13,animacy
0,1,14,background
1,1,14,background
2,10,14,background
3,2,14,background
4,1,14,background
5,3,14,background
0,1,14,identity
1,1,14,identity
2,1,14,identity
3,10,14,identity
4,3,14,identity
5,12,14,identity
0,1,14,number
1,1,14,number
2,1,14,number
3,12,14,number
4,3,14,number
5,5,14,number
0,1,14,pose
1,1,14,pose
2,1,14,pose
3,9,14,pose
4,2,14,pose
5,11,14,pose
0,1,14,animacy
1,1,14,animacy
2,10,14,animacy
3,3,14,animacy
4,3,14,animacy
5,4,14,animacy
0,33,15,background
1,1,15,background
2,1,15,background
3,1,15,background
4,1,15,background
5,1,15,background
0,32,15,identity
1,1,15,identity
2,1,15,identity
3,1,15,identity
4,1,15,identity
5,1,15,identity
0,29,15,number
1,2,15,number
2,2,15,number
3,2,15,number
4,1,15,number
5,1,15,number
0,27,15,pose
1,7,15,pose
2,1,15,pose
3,1,15,pose
4,1,15,pose
5,1,15,pose
0,27,15,animacy
1,2,15,animacy
2,2,15,animacy
3,1,15,animacy
4,1,15,animacy
5,1,15,animacy
0,13,16,background
1,1,16,background
2,1,16,background
3,2,16,background
4,1,16,background
5,1,16,background
0,13,16,identity
1,3,16,identity
2,1,16,identity
