batch_id,index,sample+n,param_id,trial_id,stim_id
12,0,47,156,0,812
13,0,1,156,0,812
14,0,19,156,0,812
15,0,122,156,0,812
16,0,7,156,0,812
17,0,3,156,0,812
18,0,9,156,0,812
19,0,52,156,0,812
0,0,20,90,0,975
1,0,28,90,0,975
2,0,34,90,0,975
3,0,6,90,0,975
4,0,1,90,0,975
5,0,59,90,0,975
6,0,18,90,0,975
7,0,48,90,0,975
8,0,9,90,0,975
9,0,70,90,0,975
10,0,3,90,0,975
11,0,61,90,0,975
12,0,21,90,0,975
13,0,52,90,0,975
14,0,5,90,0,975
15,0,46,90,0,975
16,0,1,90,0,975
17,0,13,90,0,975
18,0,67,90,0,975
19,0,35,90,0,975
0,0,18,148,0,1137
1,0,1,148,0,1137
2,0,55,148,0,1137
3,0,55,148,0,1137
4,0,37,148,0,1137
5,0,38,148,0,1137
6,0,2,148,0,1137
7,0,74,148,0,1137
8,0,25,148,0,1137
9,0,21,148,0,1137
10,0,3,148,0,1137
11,0,18,148,0,1137
12,0,51,148,0,1137
13,0,34,148,0,1137
14,0,38,148,0,1137
15,0,17,148,0,1137
16,0,67,148,0,1137
17,0,31,148,0,1137
18,0,83,148,0,1137
19,0,55,148,0,1137
0,0,11,144,0,162
1,0,1,144,0,162
2,0,1,144,0,162
3,0,61,144,0,162
4,0,35,144,0,162
5,0,20,144,0,162
6,0,93,144,0,162
7,0,8,144,0,162
8,0,21,144,0,162
9,0,47,144,0,162
10,0,24,144,0,162
11,0,27,144,0,162
12,0,4,144,0,162
13,0,121,144,0,162
14,0,1,144,0,162
15,0,40,144,0,162
16,0,67,144,0,162
17,0,36,144,0,162
18,0,58,144,0,162
19,0,76,144,0,162
0,0,34,140,0,1527
1,0,69,140,0,1527
2,0,14,140,0,1527
3,0,47,140,0,1527
4,0,1,140,0,1527
5,0,65,140,0,1527
6,0,5,140,0,1527
7,0,23,140,0,1527
8,0,27,140,0,1527
9,0,9,140,0,1527
10,0,52,140,0,1527
11,0,34,140,0,1527
12,0,41,140,0,1527
13,0,26,140,0,1527
14,0,72,140,0,1527
15,0,25,140,0,1527
16,0,54,140,0,1527
17,0,23,140,0,1527
18,0,45,140,0,1527
19,0,30,140,0,1527
0,0,22,148,0,1137
1,0,34,148,0,1137
2,0,32,148,0,1137
3,0,58,148,0,1137
4,0,45,148,0,1137
5,0,2,148,0,1137
6,0,58,148,0,1137
7,0,1,148,0,1137
8,0,11,148,0,1137
9,0,26,148,0,1137
10,0,4,148,0,1137
11,0,28,148,0,1137
12,0,8,148,0,1137
13,0,29,148,0,1137
14,0,23,148,0,1137
15,0,32,148,0,1137
16,0,51,148,0,1137
17,0,1,148,0,1137
18,0,34,148,0,1137
19,0,71,148,0,1137
0,0,43,146,0,1105
1,0,120,146,0,1105
2,0,12,146,0,1105
3,0,21,146,0,1105
4,0,9,146,0,1105
5,0,28,146,0,1105
6,0,42,146,0,1105
7,0,79,146,0,1105
8,0,24,146,0,1105
9,0,58,146,0,1105
10,0,28,146,0,1105
11,0,50,146,0,1105
12,0,49,146,0,1105
13,0,52,146,0,1105
14,0,3,146,0,1105
15,0,9,146,0,1105
16,0,65,146,0,1105
17,0,35,146,0,1105
18,0,44,146,0,1105
19,0,31,146,0,1105
0,0,118,156,0,812
1,0,92,156,0,812
2,0,60,156,0,812
3,0,66,156,0,812
4,0,26,156,0,812
5,0,64,156,0,812
6,0,89,156,0,812
7,0,42,156,0,812
8,0,72,156,0,812
9,0,20,156,0,812
10,0,63,156,0,812
11,0,3,156,0,812
12,0,34,156,0,812
13,0,5,156,0,812
14,0,8,156,0,812
15,0,13,156,0,812
16,0,60,156,0,812
17,0,2,156,0,812
18,0,37,156,0,812
19,0,8,156,0,812
0,0,58,90,0,975
1,0,109,90,0,975
2,0,4,90,0,975
3,0,1,90,0,975
4,0,51,90,0,975
5,0,35,90,0,975
6,0,96,90,0,975
7,0,82,90,0,975
8,0,22,90,0,975
9,0,10,90,0,975
10,0,2,90,0,975
11,0,12,90,0,975
12,0,75,90,0,975
13,0,39,90,0,975
14,0,123,90,0,975
15,0,130,90,0,975
16,0,41,90,0,975
17,0,24,90,0,975
18,0,45,90,0,975
19,0,55,90,0,975
0,0,41,146,0,1235
1,0,29,146,0,1235
2,0,51,146,0,1235
3,0,1,146,0,1235
4,0,10,146,0,1235
5,0,1,146,0,1235
6,0,18,146,0,1235
7,0,38,146,0,1235
8,0,44,146,0,1235
9,0,29,146,0,1235
10,0,15,146,0,1235
11,0,59,146,0,1235
12,0,10,146,0,1235
13,0,13,146,0,1235
14,0,12,146,0,1235
15,0,9,146,0,1235
16,0,36,146,0,1235
17,0,25,146,0,1235
18,0,6,146,0,1235
19,0,25,146,0,1235
0,0,6,144,0,1657
1,0,18,144,0,1657
2,0,4,144,0,1657
3,0,12,144,0,1657
4,0,73,144,0,1657
5,0,53,144,0,1657
6,0,19,144,0,1657
7,0,27,144,0,1657
8,0,78,144,0,1657
9,0,8,144,0,1657
10,0,9,144,0,1657
11,0,29,144,0,1657
12,0,27,144,0,1657
13,0,39,144,0,1657
14,0,22,144,0,1657
15,0,24,144,0,1657
16,0,41,144,0,1657
17,0,88,144,0,1657
18,0,32,144,0,1657
19,0,63,144,0,1657
0,0,23,140,0,1527
1,0,20,140,0,1527
2,0,34,140,0,1527
3,0,65,140,0,1527
4,0,57,140,0,1527
5,0,30,140,0,1527
6,0,13,140,0,1527
7,0,20,140,0,1527
8,0,24,140,0,1527
9,0,54,140,0,1527
10,0,20,140,0,1527
11,0,16,140,0,1527
12,0,36,140,0,1527
13,0,36,140,0,1527
14,0,32,140,0,1527
15,0,29,140,0,1527
16,0,55,140,0,1527
17,0,21,140,0,1527
18,0,34,140,0,1527
19,0,52,140,0,1527
0,0,18,148,0,1235
1,0,64,148,0,1235
2,0,24,148,0,1235
3,0,33,148,0,1235
4,0,45,148,0,1235
5,0,84,148,0,1235
6,0,29,148,0,1235
7,0,32,148,0,1235
8,0,104,148,0,1235
9,0,82,148,0,1235
10,0,13,148,0,1235
11,0,20,148,0,1235
12,0,35,148,0,1235
13,0,33,148,0,1235
14,0,15,148,0,1235
15,0,19,148,0,1235
16,0,73,148,0,1235
17,0,1,148,0,1235
18,0,45,148,0,1235
19,0,16,148,0,1235
0,0,51,156,0,32
1,0,16,156,0,32
2,0,104,156,0,32
3,0,6,156,0,32
4,0,31,156,0,32
5,0,1,156,0,32
6,0,22,156,0,32
7,0,4,156,0,32
8,0,10,156,0,32
9,0,1,156,0,32
10,0,79,156,0,32
11,0,1,156,0,32
12,0,2,156,0,32
13,0,52,156,0,32
14,0,2,156,0,32
15,0,68,156,0,32
16,0,7,156,0,32
17,0,1,156,0,32
18,0,9,156,0,32
19,0,89,156,0,32
0,0,1,144,0,1657
1,0,4,144,0,1657
2,0,15,144,0,1657
3,0,62,144,0,1657
4,0,13,144,0,1657
5,0,10,144,0,1657
6,0,115,144,0,1657
7,0,19,144,0,1657
8,0,58,144,0,1657
9,0,24,144,0,1657
10,0,20,144,0,1657
11,0,42,144,0,1657
12,0,8,144,0,1657
13,0,44,144,0,1657
14,0,65,144,0,1657
15,0,23,144,0,1657
16,0,15,144,0,1657
17,0,1,144,0,1657
18,0,51,144,0,1657
19,0,6,144,0,1657
0,0,22,90,0,1982
1,0,9,90,0,1982
2,0,46,90,0,1982
3,0,33,90,0,1982
4,0,13,90,0,1982
5,0,17,90,0,1982
6,0,99,90,0,1982
7,0,59,90,0,1982
8,0,24,90,0,1982
9,0,26,90,0,1982
10,0,19,90,0,1982
11,0,11,90,0,1982
12,0,114,90,0,1982
13,0,2,90,0,1982
14,0,60,90,0,1982
15,0,22,90,0,1982
16,0,44,90,0,1982
17,0,2,90,0,1982
18,0,4,90,0,1982
19,0,14,90,0,1982
0,0,71,146,0,1235
1,0,6,146,0,1235
2,0,25,146,0,1235
3,0,31,146,0,1235
4,0,27,146,0,1235
5,0,36,146,0,1235
6,0,29,146,0,1235
7,0,20,146,0,1235
8,0,40,146,0,1235
9,0,7,146,0,1235
