batch_id,index,sample+n,param_id,trial_id,stim_id
15,0,15,144,0,1495
16,0,100,144,0,1495
17,0,11,144,0,1495
18,0,66,144,0,1495
19,0,81,144,0,1495
0,0,13,146,0,2015
1,0,90,146,0,2015
2,0,35,146,0,2015
3,0,27,146,0,2015
4,0,1,146,0,2015
5,0,52,146,0,2015
6,0,89,146,0,2015
7,0,65,146,0,2015
8,0,52,146,0,2015
9,0,52,146,0,2015
10,0,62,146,0,2015
11,0,112,146,0,2015
12,0,26,146,0,2015
13,0,67,146,0,2015
14,0,80,146,0,2015
15,0,12,146,0,2015
16,0,7,146,0,2015
17,0,6,146,0,2015
18,0,31,146,0,2015
19,0,2,146,0,2015
0,0,53,140,0,65
1,0,47,140,0,65
2,0,22,140,0,65
3,0,69,140,0,65
4,0,61,140,0,65
5,0,15,140,0,65
6,0,29,140,0,65
7,0,36,140,0,65
8,0,63,140,0,65
9,0,50,140,0,65
10,0,26,140,0,65
11,0,30,140,0,65
12,0,33,140,0,65
13,0,35,140,0,65
14,0,31,140,0,65
15,0,11,140,0,65
16,0,58,140,0,65
17,0,102,140,0,65
18,0,27,140,0,65
19,0,74,140,0,65
0,0,47,156,0,747
1,0,45,156,0,747
2,0,21,156,0,747
3,0,5,156,0,747
4,0,21,156,0,747
5,0,41,156,0,747
6,0,22,156,0,747
7,0,37,156,0,747
8,0,65,156,0,747
9,0,45,156,0,747
10,0,44,156,0,747
11,0,5,156,0,747
12,0,62,156,0,747
13,0,12,156,0,747
14,0,51,156,0,747
15,0,103,156,0,747
16,0,88,156,0,747
17,0,106,156,0,747
18,0,37,156,0,747
19,0,11,156,0,747
0,0,21,148,0,390
1,0,42,148,0,390
2,0,36,148,0,390
3,0,1,148,0,390
4,0,25,148,0,390
5,0,4,148,0,390
6,0,33,148,0,390
7,0,6,148,0,390
8,0,79,148,0,390
9,0,12,148,0,390
10,0,80,148,0,390
11,0,48,148,0,390
12,0,1,148,0,390
13,0,31,148,0,390
14,0,20,148,0,390
15,0,39,148,0,390
16,0,2,148,0,390
17,0,88,148,0,390
18,0,72,148,0,390
19,0,6,148,0,390
0,0,38,90,0,32
1,0,51,90,0,32
2,0,72,90,0,32
3,0,35,90,0,32
4,0,10,90,0,32
5,0,18,90,0,32
6,0,1,90,0,32
7,0,6,90,0,32
8,0,51,90,0,32
9,0,21,90,0,32
10,0,12,90,0,32
11,0,64,90,0,32
12,0,1,90,0,32
13,0,49,90,0,32
14,0,47,90,0,32
15,0,38,90,0,32
16,0,23,90,0,32
17,0,109,90,0,32
18,0,1,90,0,32
19,0,74,90,0,32
0,0,7,144,0,1072
1,0,1,144,0,1072
2,0,15,144,0,1072
3,0,47,144,0,1072
4,0,75,144,0,1072
5,0,1,144,0,1072
6,0,11,144,0,1072
7,0,24,144,0,1072
8,0,59,144,0,1072
9,0,25,144,0,1072
10,0,59,144,0,1072
11,0,102,144,0,1072
12,0,1,144,0,1072
13,0,4,144,0,1072
14,0,20,144,0,1072
15,0,72,144,0,1072
16,0,27,144,0,1072
17,0,19,144,0,1072
18,0,41,144,0,1072
19,0,20,144,0,1072
0,0,1,90,0,32
1,0,22,90,0,32
2,0,25,90,0,32
3,0,106,90,0,32
4,0,25,90,0,32
5,0,3,90,0,32
6,0,1,90,0,32
7,0,39,90,0,32
8,0,1,90,0,32
9,0,19,90,0,32
10,0,58,90,0,32
11,0,1,90,0,32
12,0,54,90,0,32
13,0,13,90,0,32
14,0,3,90,0,32
15,0,1,90,0,32
16,0,61,90,0,32
17,0,1,90,0,32
18,0,28,90,0,32
19,0,2,90,0,32
0,0,21,146,0,2015
1,0,80,146,0,2015
2,0,1,146,0,2015
3,0,1,146,0,2015
4,0,38,146,0,2015
5,0,35,146,0,2015
6,0,21,146,0,2015
7,0,28,146,0,2015
8,0,42,146,0,2015
9,0,41,146,0,2015
10,0,26,146,0,2015
11,0,109,146,0,2015
12,0,19,146,0,2015
13,0,50,146,0,2015
14,0,71,146,0,2015
15,0,20,146,0,2015
16,0,79,146,0,2015
17,0,74,146,0,2015
18,0,41,146,0,2015
19,0,10,146,0,2015
0,0,78,140,0,2047
1,0,22,140,0,2047
2,0,45,140,0,2047
3,0,46,140,0,2047
4,0,27,140,0,2047
5,0,45,140,0,2047
6,0,34,140,0,2047
7,0,37,140,0,2047
8,0,52,140,0,2047
9,0,64,140,0,2047
10,0,40,140,0,2047
11,0,43,140,0,2047
12,0,13,140,0,2047
13,0,26,140,0,2047
