,sample_n,run_id,v_type
2,8,12,background
3,1,12,background
4,2,12,background
5,1,12,background
0,69,12,identity
1,7,12,identity
2,3,12,identity
3,6,12,identity
4,1,12,identity
5,1,12,identity
0,61,12,number
1,24,12,number
2,9,12,number
3,1,12,number
4,1,12,number
5,1,12,number
0,65,12,pose
1,17,12,pose
2,3,12,pose
3,1,12,pose
4,4,12,pose
5,2,12,pose
0,44,12,animacy
1,33,12,animacy
2,7,12,animacy
3,1,12,animacy
4,6,12,animacy
5,1,12,animacy
0,3,13,background
1,1,13,background
2,1,13,background
3,1,13,background
4,1,13,background
5,1,13,background
0,1,13,identity
1,2,13,identity
2,1,13,identity
3,1,13,identity
4,2,13,identity
5,1,13,identity
0,1,13,number
1,2,13,number
2,1,13,number
3,2,13,number
4,1,13,number
5,1,13,number
0,2,13,pose
1,1,13,pose
2,1,13,pose
3,1,13,pose
4,2,13,pose
5,1,13,pose
0,1,13,animacy
1,1,13,animacy
2,1,13,animacy
3,1,13,animacy
4,2,13,animacy
5,1,13,animacy
0,1,14,background
1,1,14,background
2,1,14,background
3,2,14,background
4,4,14,background
5,1,14,background
0,1,14,identity
1,1,14,identity
2,1,14,identity
3,3,14,identity
4,4,14,identity
5,1,14,identity
0,1,14,number
1,1,14,number
2,1,14,number
3,4,14,number
4,5,14,number
5,5,14,number
0,1,14,pose
1,1,14,pose
2,1,14,pose
3,3,14,pose
4,5,14,pose
5,2,14,pose
0,1,14,animacy
1,1,14,animacy
2,1,14,animacy
3,2,14,animacy
4,4,14,animacy
5,1,14,animacy
0,21,15,background
1,1,15,background
2,1,15,background
3,3,15,background
4,2,15,background
5,1,15,background
0,10,15,identity
1,13,15,identity
2,1,15,identity
3,2,15,identity
4,1,15,identity
5,25,15,identity
0,20,15,number
1,1,15,number
2,1,15,number
3,3,15,number
4,3,15,number
5,1,15,number
0,16,15,pose
1,10,15,pose
2,1,15,pose
3,2,15,pose
4,1,15,pose
5,1,15,pose
0,15,15,animacy
1,4,15,animacy
2,6,15,animacy
3,1,15,animacy
4,2,15,animacy
5,17,15,animacy
0,56,16,background
1,3,16,background
2,5,16,background
3,5,16,background
4,4,16,background
5,2,16,background
0,66,16,identity
1,5,16,identity
2,5,16,identity
3,2,16,identity
4,3,16,identity
5,1,16,identity
0,67,16,number
1,3,16,number
2,3,16,number
3,3,16,number
4,3,16,number
5,1,16,number
0,3,16,pose
1,56,16,pose
2,6,16,pose
3,5,16,pose
4,3,16,pose
5,2,16,pose
0,70,16,animacy
1,4,16,animacy
2,3,16,animacy
3,3,16,animacy
4,2,16,animacy
5,1,16,animacy
0,10,17,background
1,44,17,background
2,1,17,background
3,1,17,background
4,1,17,background
5,1,17,background
0,2,17,identity
1,55,17,identity
2,1,17,identity
3,2,17,identity
4,1,17,identity
5,1,17,identity
0,2,17,number
1,46,17,number
2,1,17,number
3,6,17,number
4,2,17,number
5,1,17,number
0,29,17,pose
1,27,17,pose
2,1,17,pose
3,2,17,pose
4,1,17,pose
5,2,17,pose
0,53,17,animacy
1,3,17,animacy
2,1,17,animacy
3,2,17,animacy
4,2,17,animacy
5,1,17,animacy
0,6,18,background
1,3,18,background
2,1,18,background
3,1,18,background
4,1,18,background
5,1,18,background
0,5,18,identity
1,4,18,identity
2,1,18,identity
3,1,18,identity
4,1,18,identity
5,1,18,identity
0,6,18,number
1,2,18,number
2,2,18,number
3,2,18,number
4,1,18,number
5,1,18,number
0,5,18,pose
1,2,18,pose
2,1,18,pose
3,1,18,pose
4,1,18,pose
5,1,18,pose
0,7,18,animacy
1,2,18,animacy
2,1,18,animacy
3,1,18,animacy
4,1,18,animacy
5,1,18,animacy
0,8,19,background
1,7,19,background
2,4,19,background
3,6,19,background
4,5,19,background
5,4,19,background
0,10,19,identity
1,8,19,identity
2,4,19,identity
3,5,19,identity
4,8,19,identity
5,57,19,identity
0,9,19,number
1,6,19,number
2,6,19,number
3,5,19,number
4,5,19,number
5,8,19,number
0,8,19,pose
1,6,19,pose
2,6,19,pose
3,9,19,pose
4,8,19,pose
5,6,19,pose
0,7,19,animacy
1,6,19,animacy
2,2,19,animacy
3,7,19,animacy
4,5,19,animacy
5,49,19,animacy
0,37,20,background
1,6,20,background
2,9,20,background
3,5,20,background
4,3,20,background
5,2,20,background
0,34,20,identity
1,2,20,identity
2,1,20,identity
3,7,20,identity
4,3,20,identity
5,54,20,identity
0,56,20,number
1,3,20,number
2,8,20,number
3,2,20,number
4,5,20,number
5,5,20,number
0,33,20,pose
1,20,20,pose
2,6,20,pose
3,3,20,pose
4,2,20,pose
5,7,20,pose
0,44,20,animacy
1,2,20,animacy
2,4,20,animacy
3,5,20,animacy
4,4,20,animacy
5,19,20,animacy
0,18,21,background
1,2,21,background
2,1,21,background
3,1,21,background
4,1,21,background
5,1,21,background
0,17,21,identity
1,3,21,identity
2,1,21,identity
3,1,21,identity
4,1,21,identity
5,1,21,identity
0,4,21,number
1,13,21,number
2,1,21,number
3,2,21,number
4,2,21,number
5,1,21,number
0,21,21,pose
1,1,21,pose
2,1,21,pose
3,1,21,pose
4,1,21,pose
5,1,21,pose
0,16,21,animacy
1,1,21,animacy
2,1,21,animacy
3,1,21,animacy
4,1,21,animacy
5,1,21,animacy
0,2,22,background
1,2,22,background
2,1,22,background
3,1,22,background
4,1,22,background
5,1,22,background
0,3,22,identity
1,2,22,identity
2,1,22,identity
3,1,22,identity
4,1,22,identity
5,1,22,identity
0,3,22,number
1,3,22,number
2,1,22,number
3,2,22,number
4,1,22,number
5,1,22,number
0,3,22,pose
1,2,22,pose
2,2,22,pose
3,1,22,pose
4,1,22,pose
5,1,22,pose
0,2,22,animacy
1,2,22,animacy
2,2,22,animacy
3,1,22,animacy
4,1,22,animacy
5,1,22,animacy
0,26,23,background
1,1,23,background
2,20,23,background
3,11,23,background
4,38,23,background
5,59,23,background
0,49,23,identity
1,74,23,identity
2,86,23,identity
3,75,23,identity
4,25,23,identity
5,51,23,identity
0,8,23,number
1,13,23,number
2,16,23,number
3,15,23,number
4,37,23,number
5,98,23,number
0,51,23,pose
1,46,23,pose
2,20,23,pose
3,1,23,pose
4,5,23,pose
5,137,23,pose
0,2,23,animacy
1,13,23,animacy
2,11,23,animacy
3,2,23,animacy
4,3,23,animacy
5,178,23,animacy
0,7,24,background
1,3,24,background
2,2,24,background
3,2,24,background
4,2,24,background
5,2,24,background
0,9,24,identity
1,2,24,identity
2,2,24,identity
3,2,24,identity
4,2,24,identity
5,2,24,identity
0,10,24,number
1,2,24,number
2,2,24,number
3,2,24,number
4,2,24,number
5,1,24,number
0,9,24,pose
1,2,24,pose
2,2,24,pose
3,1,24,pose
4,2,24,pose
5,2,24,pose
0,7,24,animacy
1,3,24,animacy
2,2,24,animacy
3,2,24,animacy
4,2,24,animacy
5,2,24,animacy
0,1,25,background
1,10,25,background
2,1,25,background
3,1,25,background
4,2,25,background
5,2,25,background
0,1,25,identity
1,3,25,identity
2,6,25,identity
3,1,25,identity
4,1,25,identity
5,1,25,identity
0,2,25,number
1,10,25,number
2,1,25,number
3,1,25,number
4,1,25,number
5,1,25,number
0,3,25,pose
1,7,25,pose
2,1,25,pose
3,2,25,pose
4,1,25,pose
5,1,25,pose
0,11,25,animacy
1,2,25,animacy
2,1,25,animacy
3,2,25,animacy
4,1,25,animacy
5,1,25,animacy
0,11,26,background
1,2,26,background
2,2,26,background
3,2,26,background
4,1,26,background
5,1,26,background
0,12,26,identity
1,4,26,identity
2,1,26,identity
3,2,26,identity
4,1,26,identity
5,1,26,identity
0,16,26,number
1,1,26,number
2,1,26,number
3,1,26,number
4,2,26,number
5,2,26,number
0,16,26,pose
1,2,26,pose
2,1,26,pose
3,1,26,pose
4,1,26,pose
5,2,26,pose
0,10,26,animacy
1,3,26,animacy
2,1,26,animacy
3,4,26,animacy
4,1,26,animacy
5,2,26,animacy
0,4,27,background
1,7,27,background
2,2,27,background
3,2,27,background
4,2,27,background
5,8,27,background
0,8,27,identity
1,2,27,identity
2,6,27,identity
3,1,27,identity
4,7,27,identity
5,2,27,identity
0,4,27,number
1,6,27,number
2,6,27,number
3,1,27,number
4,3,27,number
5,4,27,number
0,1,27,pose
1,10,27,pose
2,4,27,pose
3,1,27,pose
4,3,27,pose
5,5,27,pose
0,10,27,animacy
1,1,27,animacy
2,3,27,animacy
3,3,27,animacy
4,3,27,animacy
5,2,27,animacy
0,46,28,background
1,20,28,background
2,5,28,background
3,2,28,background
4,2,28,background
5,1,28,background
0,52,28,identity
1,6,28,identity
2,2,28,identity
3,4,28,identity
4,3,28,identity
5,5,28,identity
0,51,28,number
1,10,28,number
2,9,28,number
3,2,28,number
4,2,28,number
5,7,28,number
0,43,28,pose
1,12,28,pose
2,1,28,pose
3,4,28,pose
4,9,28,pose
5,11,28,pose
0,50,28,animacy
1,10,28,animacy
2,7,28,animacy
3,2,28,animacy
4,2,28,animacy
5,46,28,animacy
0,18,29,background
1,1,29,background
2,1,29,background
3,1,29,background
4,2,29,background
5,1,29,background
0,19,29,identity
1,1,29,identity
2,1,29,identity
3,2,29,identity
4,1,29,identity
5,2,29,identity
0,17,29,number
1,1,29,number
2,1,29,number
3,1,29,number
4,1,29,number
5,1,29,number
0,12,29,pose
1,3,29,pose
2,4,29,pose
3,2,29,pose
4,1,29,pose
5,2,29,pose
0,16,29,animacy
1,3,29,animacy
2,1,29,animacy
3,1,29,animacy
4,1,29,animacy
5,1,29,animacy
0,32,30,background
1,3,30,background
2,1,30,background
3,2,30,background
4,2,30,background
5,2,30,background
0,18,30,identity
1,5,30,identity
2,4,30,identity
3,1,30,identity
4,12,30,identity
5,10,30,identity
0,26,30,number
1,4,30,number
2,11,30,number
3,10,30,number
4,9,30,number
5,12,30,number
0,7,30,pose
1,11,30,pose
2,7,30,pose
3,11,30,pose
4,11,30,pose
5,11,30,pose
0,29,30,animacy
1,2,30,animacy
2,12,30,animacy
3,9,30,animacy
4,7,30,animacy
5,9,30,animacy
0,32,31,background
1,3,31,background
2,1,31,background
3,1,31,background
4,1,31,background
5,1,31,background
0,6,31,identity
1,27,31,identity
2,2,31,identity
3,1,31,identity
4,1,31,identity
5,1,31,identity
0,33,31,number
1,1,31,number
2,2,31,number
3,1,31,number
4,1,31,number
5,1,31,number
0,33,31,pose
1,1,31,pose
2,1,31,pose
3,1,31,pose
4,1,31,pose
5,1,31,pose
0,2,31,animacy
1,30,31,animacy
2,2,31,animacy
3,1,31,animacy
4,1,31,animacy
5,1,31,animacy
0,4,32,background
1,1,32,background
2,1,32,background
3,1,32,background
4,1,32,background
5,1,32,background
0,3,32,identity
1,1,32,identity
2,1,32,identity
3,1,32,identity
4,1,32,identity
5,1,32,identity
0,3,32,number
1,1,32,number
2,1,32,number
3,1,32,number
4,1,32,number
5,1,32,number
0,4,32,pose
1,1,32,pose
2,1,32,pose
3,1,32,pose
4,1,32,pose
5,1,32,pose
0,3,32,animacy
1,1,32,animacy
2,1,32,animacy
3,1,32,animacy
4,1,32,animacy
5,1,32,animacy
0,4,33,background
1,5,33,background
2,5,33,background
3,5,33,background
4,3,33,background
5,3,33,background
0,5,33,identity
1,4,33,identity
2,4,33,identity
3,5,33,identity
4,4,33,identity
5,6,33,identity
0,4,33,number
1,5,33,number
2,5,33,number
3,4,33,number
4,4,33,number
5,5,33,number
0,4,33,pose
1,5,33,pose
2,4,33,pose
3,4,33,pose
4,3,33,pose
5,4,33,pose
0,4,33,animacy
1,5,33,animacy
2,4,33,animacy
3,5,33,animacy
4,4,33,animacy
5,8,33,animacy
0,5,34,background
1,1,34,background
2,1,34,background
3,1,34,background
4,1,34,background
5,1,34,background
0,7,34,identity
1,1,34,identity
2,1,34,identity
3,1,34,identity
4,1,34,identity
5,1,34,identity
0,6,34,number
1,1,34,number
2,1,34,number
3,1,34,number
4,1,34,number
5,1,34,number
0,7,34,pose
1,1,34,pose
2,1,34,pose
3,1,34,pose
4,1,34,pose
5,2,34,pose
0,6,34,animacy
1,1,34,animacy
2,1,34,animacy
3,1,34,animacy
4,1,34,animacy
5,1,34,animacy
0,36,35,background
1,42,35,background
2,27,35,background
3,7,35,background
4,3,35,background
5,7,35,background
0,36,35,identity
1,74,35,identity
2,3,35,identity
3,3,35,identity
4,2,35,identity
5,2,35,identity
0,72,35,number
1,9,35,number
2,4,35,number
3,18,35,number
4,7,35,number
5,3,35,number
0,8,35,pose
1,48,35,pose
2,15,35,pose
3,10,35,pose
4,5,35,pose
5,2,35,pose
0,65,35,animacy
1,2,35,animacy
2,35,35,animacy
3,5,35,animacy
4,4,35,animacy
5,48,35,animacy
0,1,36,background
1,1,36,background
2,1,36,background
3,1,36,background
4,1,36,background
5,1,36,background
0,5,36,identity
1,1,36,identity
2,6,36,identity
3,1,36,identity
4,3,36,identity
5,20,36,identity
0,1,36,number
1,1,36,number
2,1,36,number
3,3,36,number
4,1,36,number
5,21,36,number
0,1,36,pose
1,1,36,pose
2,1,36,pose
3,1,36,pose
4,1,36,pose
5,13,36,pose
0,1,36,animacy
1,1,36,animacy
2,1,36,animacy
3,1,36,animacy
4,4,36,animacy
5,15,36,animacy
0,16,37,background
1,4,37,background
2,4,37,background
3,4,37,background
4,3,37,background
5,5,37,background
0,9,37,identity
1,6,37,identity
2,4,37,identity
3,4,37,identity
4,4,37,identity
5,95,37,identity
0,9,37,number
1,8,37,number
2,4,37,number
3,4,37,number
4,4,37,number
5,97,37,number
0,13,37,pose
1,5,37,pose
2,4,37,pose
3,4,37,pose
4,4,37,pose
5,96,37,pose
0,13,37,animacy
1,5,37,animacy
2,5,37,animacy
3,4,37,animacy
4,4,37,animacy
5,68,37,animacy
0,8,38,background
1,7,38,background
2,7,38,background
3,11,38,background
4,24,38,background
5,12,38,background
0,16,38,identity
1,16,38,identity
2,24,38,identity
3,7,38,identity
4,7,38,identity
5,15,38,identity
0,4,38,number
1,33,38,number
2,4,38,number
3,8,38,number
4,2,38,number
5,6,38,number
0,14,38,pose
1,20,38,pose
2,16,38,pose
3,15,38,pose
4,5,38,pose
5,12,38,pose
0,23,38,animacy
1,9,38,animacy
2,33,38,animacy
3,6,38,animacy
4,8,38,animacy
5,1,38,animacy
0,5,39,background
1,3,39,background
2,1,39,background
3,1,39,background
4,1,39,background
5,1,39,background
0,5,39,identity
1,2,39,identity
2,1,39,identity
3,1,39,identity
4,1,39,identity
5,1,39,identity
0,5,39,number
1,2,39,number
2,1,39,number
3,1,39,number
4,1,39,number
5,1,39,number
0,6,39,pose
1,1,39,pose
2,1,39,pose
3,1,39,pose
4,1,39,pose
5,1,39,pose
0,7,39,animacy
1,1,39,animacy
2,1,39,animacy
3,1,39,animacy
4,1,39,animacy
5,1,39,animacy
0,2,40,background
1,7,40,background
2,6,40,background
3,8,40,background
4,16,40,background
5,25,40,background
0,4,40,identity
1,11,40,identity
2,6,40,identity
3,19,40,identity
4,13,40,identity
5,58,40,identity
0,3,40,number
1,8,40,number
2,47,40,number
3,13,40,number
4,2,40,number
5,68,40,number
0,3,40,pose
1,11,40,pose
2,6,40,pose
3,3,40,pose
4,4,40,pose
5,1,40,pose
0,4,40,animacy
1,1,40,animacy
2,5,40,animacy
3,13,40,animacy
4,6,40,animacy
5,33,40,animacy
0,100,41,background
1,17,41,background
2,16,41,background
3,6,41,background
4,6,41,background
5,3,41,background
0,66,41,identity
1,60,41,identity
2,27,41,identity
3,13,41,identity
4,7,41,identity
5,42,41,identity
0,56,41,number
1,66,41,number
2,7,41,number
3,10,41,number
4,20,41,number
5,10,41,number
0,92,41,pose
1,26,41,pose
2,47,41,pose
3,11,41,pose
4,3,41,pose
5,14,41,pose
0,138,41,animacy
1,2,41,animacy
2,28,41,animacy
3,17,41,animacy
4,7,41,animacy
5,134,41,animacy
0,42,42,background
1,9,42,background
2,2,42,background
3,54,42,background
4,1,42,background
5,43,42,background
0,42,42,identity
1,102,42,identity
2,5,42,identity
3,9,42,identity
4,5,42,identity
5,12,42,identity
0,31,42,number
1,69,42,number
2,11,42,number
3,8,42,number
4,13,42,number
5,7,42,number
0,10,42,pose
1,75,42,pose
2,22,42,pose
3,16,42,pose
4,4,42,pose
5,23,42,pose
0,112,42,animacy
1,9,42,animacy
2,1,42,animacy
3,26,42,animacy
4,9,42,animacy
5,22,42,animacy
0,7,43,background
1,1,43,background
2,1,43,background
3,2,43,background
4,1,43,background
5,1,43,background
0,5,43,identity
1,3,43,identity
2,1,43,identity
3,1,43,identity
4,1,43,identity
5,1,43,identity
0,9,43,number
1,1,43,number
2,1,43,number
3,1,43,number
4,1,43,number
5,1,43,number
0,6,43,pose
1,2,43,pose
2,3,43,pose
3,1,43,pose
4,1,43,pose
5,1,43,pose
0,7,43,animacy
1,1,43,animacy
2,2,43,animacy
3,1,43,animacy
4,1,43,animacy
5,1,43,animacy
0,15,44,background
1,4,44,background
2,1,44,background
3,1,44,background
4,1,44,background
5,1,44,background
0,4,44,identity
1,4,44,identity
2,9,44,identity
3,1,44,identity
4,1,44,identity
5,2,44,identity
0,16,44,number
1,4,44,number
2,1,44,number
3,2,44,number
4,1,44,number
5,1,44,number
0,17,44,pose
1,2,44,pose
2,1,44,pose
3,1,44,pose
4,1,44,pose
5,3,44,pose
0,15,44,animacy
1,2,44,animacy
2,3,44,animacy
3,1,44,animacy
4,1,44,animacy
5,1,44,animacy
0,36,45,background
1,14,45,background
2,1,45,background
3,2,45,background
4,1,45,background
5,2,45,background
0,36,45,identity
1,3,45,identity
2,6,45,identity
3,1,45,identity
4,3,45,identity
5,3,45,identity
0,45,45,number
1,9,45,number
2,1,45,number
3,1,45,number
4,3,45,number
5,5,45,number
0,31,45,pose
1,17,45,pose
2,3,45,pose
3,1,45,pose
4,1,45,pose
5,16,45,pose
0,52,45,animacy
1,1,45,animacy
2,2,45,animacy
3,2,45,animacy
4,2,45,animacy
5,2,45,animacy
0,1,46,background
1,50,46,background
2,123,46,background
3,5,46,background
4,26,46,background
5,4,46,background
0,1,46,identity
1,35,46,identity
2,67,46,identity
3,89,46,identity
4,17,46,identity
5,94,46,identity
0,1,46,number
1,29,46,number
2,120,46,number
3,45,46,number
4,45,46,number
5,91,46,number
0,1,46,pose
1,27,46,pose
2,145,46,pose
3,26,46,pose
4,10,46,pose
5,64,46,pose
0,1,46,animacy
1,151,46,animacy
2,60,46,animacy
3,2,46,animacy
4,30,46,animacy
5,111,46,animacy
0,1,47,background
1,1,47,background
2,1,47,background
3,7,47,background
4,1,47,background
5,2,47,background
0,1,47,identity
1,1,47,identity
2,1,47,identity
3,8,47,identity
4,1,47,identity
5,1,47,identity
0,1,47,number
1,1,47,number
2,2,47,number
3,7,47,number
4,1,47,number
5,2,47,number
0,1,47,pose
1,1,47,pose
2,1,47,pose
3,8,47,pose
4,1,47,pose
5,1,47,pose
0,1,47,animacy
1,1,47,animacy
2,9,47,animacy
3,1,47,animacy
4,1,47,animacy
5,1,47,animacy
0,15,48,background
1,9,48,background
2,10,48,background
3,11,48,background
4,10,48,background
5,7,48,background
0,18,48,identity
1,6,48,identity
2,4,48,identity
3,7,48,identity
4,9,48,identity
5,3,48,identity
0,10,48,number
1,13,48,number
2,3,48,number
3,7,48,number
4,12,48,number
5,8,48,number
0,15,48,pose
1,12,48,pose
2,6,48,pose
3,8,48,pose
4,2,48,pose
5,24,48,pose
0,11,48,animacy
1,6,48,animacy
2,7,48,animacy
3,5,48,animacy
4,3,48,animacy
5,17,48,animacy
0,31,49,background
1,16,49,background
2,12,49,background
3,4,49,background
4,4,49,background
5,3,49,background
0,5,49,identity
1,23,49,identity
2,14,49,identity
3,3,49,identity
4,8,49,identity
5,13,49,identity
0,28,49,number
1,15,49,number
2,3,49,number
3,6,49,number
4,4,49,number
5,11,49,number
0,29,49,pose
1,11,49,pose
2,6,49,pose
3,4,49,pose
4,6,49,pose
5,9,49,pose
0,19,49,animacy
1,21,49,animacy
2,7,49,animacy
3,1,49,animacy
4,6,49,animacy
5,9,49,animacy
0,1,50,background
1,1,50,background
2,1,50,background
3,1,50,background
4,1,50,background
5,1,50,background
0,1,50,identity
1,1,50,identity
