,sample_n,run_id,v_type
0,15,0,background
1,17,0,background
2,40,0,background
3,19,0,background
4,28,0,background
5,10,0,background
0,46,0,identity
1,39,0,identity
2,4,0,identity
3,1,0,identity
4,1,0,identity
5,3,0,identity
0,43,0,number
1,99,0,number
2,2,0,number
3,7,0,number
4,1,0,number
5,3,0,number
0,106,0,pose
1,44,0,pose
2,9,0,pose
3,5,0,pose
4,2,0,pose
5,20,0,pose
0,75,0,animacy
1,127,0,animacy
2,1,0,animacy
3,9,0,animacy
4,8,0,animacy
5,13,0,animacy
0,23,1,background
1,33,1,background
2,12,1,background
3,13,1,background
4,3,1,background
5,9,1,background
0,20,1,identity
1,19,1,identity
2,15,1,identity
3,9,1,identity
4,8,1,identity
5,6,1,identity
0,2,1,number
1,4,1,number
2,27,1,number
3,23,1,number
4,12,1,number
5,7,1,number
0,31,1,pose
1,5,1,pose
2,23,1,pose
3,1,1,pose
4,11,1,pose
5,3,1,pose
0,9,1,animacy
1,28,1,animacy
2,26,1,animacy
3,9,1,animacy
4,4,1,animacy
5,14,1,animacy
0,2,2,background
1,5,2,background
2,4,2,background
3,1,2,background
4,2,2,background
5,1,2,background
0,3,2,identity
1,10,2,identity
2,2,2,identity
3,4,2,identity
4,1,2,identity
5,1,2,identity
0,2,2,number
1,3,2,number
2,7,2,number
3,1,2,number
4,2,2,number
5,1,2,number
0,3,2,pose
1,1,2,pose
2,8,2,pose
3,5,2,pose
4,4,2,pose
5,1,2,pose
0,1,2,animacy
1,11,2,animacy
2,1,2,animacy
3,1,2,animacy
4,1,2,animacy
5,2,2,animacy
0,2,3,background
1,1,3,background
2,5,3,background
3,125,3,background
4,13,3,background
5,20,3,background
0,1,3,identity
1,1,3,identity
2,2,3,identity
3,25,3,identity
4,19,3,identity
5,4,3,identity
0,1,3,number
1,2,3,number
2,2,3,number
3,9,3,number
4,5,3,number
5,22,3,number
0,1,3,pose
1,1,3,pose
2,1,3,pose
3,15,3,pose
4,8,3,pose
5,9,3,pose
0,1,3,animacy
1,1,3,animacy
2,1,3,animacy
3,11,3,animacy
4,1,3,animacy
5,12,3,animacy
0,2,4,background
1,2,4,background
2,1,4,background
3,2,4,background
4,3,4,background
5,34,4,background
0,3,4,identity
1,2,4,identity
2,1,4,identity
3,1,4,identity
4,75,4,identity
5,3,4,identity
0,2,4,number
1,1,4,number
2,1,4,number
3,1,4,number
4,1,4,number
5,1,4,number
0,2,4,pose
1,2,4,pose
2,2,4,pose
3,1,4,pose
4,67,4,pose
5,1,4,pose
0,3,4,animacy
1,2,4,animacy
2,1,4,animacy
3,3,4,animacy
4,66,4,animacy
5,3,4,animacy
0,69,5,background
1,55,5,background
2,24,5,background
3,28,5,background
4,22,5,background
5,8,5,background
0,64,5,identity
1,33,5,identity
2,15,5,identity
3,18,5,identity
4,23,5,identity
5,6,5,identity
0,39,5,number
1,2,5,number
2,53,5,number
3,21,5,number
4,37,5,number
5,8,5,number
0,5,5,pose
1,78,5,pose
2,28,5,pose
3,23,5,pose
4,14,5,pose
5,28,5,pose
