,sample_n,run_id,v_type
5,1,10,number
0,9,10,pose
1,1,10,pose
2,1,10,pose
3,38,10,pose
4,2,10,pose
5,1,10,pose
0,9,10,animacy
1,1,10,animacy
2,1,10,animacy
3,1,10,animacy
4,1,10,animacy
5,1,10,animacy
0,56,11,background
1,1,11,background
2,6,11,background
3,1,11,background
4,2,11,background
5,1,11,background
0,57,11,identity
1,2,11,identity
2,4,11,identity
3,1,11,identity
4,1,11,identity
5,1,11,identity
0,45,11,number
1,2,11,number
2,8,11,number
3,1,11,number
4,1,11,number
5,1,11,number
0,50,11,pose
1,3,11,pose
2,1,11,pose
3,1,11,pose
4,1,11,pose
5,1,11,pose
0,49,11,animacy
1,3,11,animacy
2,2,11,animacy
3,1,11,animacy
4,1,11,animacy
5,1,11,animacy
0,63,12,background
1,3,12,background
2,4,12,background
3,18,12,background
4,30,12,background
5,14,12,background
0,60,12,identity
1,11,12,identity
2,14,12,identity
3,4,12,identity
4,6,12,identity
5,3,12,identity
0,28,12,number
1,12,12,number
2,42,12,number
3,11,12,number
4,8,12,number
5,35,12,number
0,39,12,pose
1,6,12,pose
2,22,12,pose
3,6,12,pose
4,8,12,pose
5,55,12,pose
0,78,12,animacy
1,5,12,animacy
2,13,12,animacy
3,9,12,animacy
4,28,12,animacy
5,3,12,animacy
0,60,13,background
1,33,13,background
2,8,13,background
3,2,13,background
4,1,13,background
5,1,13,background
0,163,13,identity
1,18,13,identity
2,2,13,identity
3,2,13,identity
4,7,13,identity
5,1,13,identity
0,96,13,number
1,4,13,number
2,5,13,number
3,3,13,number
4,7,13,number
5,2,13,number
0,73,13,pose
1,12,13,pose
2,4,13,pose
3,7,13,pose
4,110,13,pose
5,24,13,pose
0,77,13,animacy
1,4,13,animacy
2,5,13,animacy
3,96,13,animacy
4,3,13,animacy
5,60,13,animacy
0,3,14,background
1,2,14,background
2,2,14,background
3,11,14,background
4,5,14,background
5,48,14,background
0,1,14,identity
1,12,14,identity
2,7,14,identity
3,2,14,identity
4,3,14,identity
5,3,14,identity
0,16,14,number
1,39,14,number
2,9,14,number
3,3,14,number
4,4,14,number
5,5,14,number
0,21,14,pose
1,48,14,pose
2,4,14,pose
3,4,14,pose
4,7,14,pose
5,58,14,pose
0,66,14,animacy
1,4,14,animacy
2,5,14,animacy
3,4,14,animacy
4,4,14,animacy
5,6,14,animacy
0,71,15,background
1,14,15,background
2,4,15,background
3,14,15,background
4,10,15,background
5,11,15,background
0,28,15,identity
1,30,15,identity
2,5,15,identity
3,8,15,identity
4,6,15,identity
5,11,15,identity
0,40,15,number
1,17,15,number
2,14,15,number
3,3,15,number
4,9,15,number
5,7,15,number
0,23,15,pose
1,38,15,pose
2,22,15,pose
3,8,15,pose
4,6,15,pose
5,5,15,pose
0,70,15,animacy
1,18,15,animacy
2,4,15,animacy
3,5,15,animacy
4,6,15,animacy
5,7,15,animacy
0,134,16,background
1,5,16,background
2,7,16,background
3,4,16,background
4,4,16,background
5,4,16,background
0,24,16,identity
1,35,16,identity
2,83,16,identity
3,31,16,identity
4,5,16,identity
5,5,16,identity
0,40,16,number
1,10,16,number
2,22,16,number
3,5,16,number
4,1,16,number
5,1,16,number
0,52,16,pose
1,6,16,pose
2,7,16,pose
3,5,16,pose
4,5,16,pose
5,20,16,pose
0,60,16,animacy
1,4,16,animacy
2,5,16,animacy
3,1,16,animacy
4,2,16,animacy
5,7,16,animacy
0,18,17,background
1,3,17,background
2,2,17,background
3,4,17,background
4,9,17,background
5,88,17,background
0,44,17,identity
1,19,17,identity
2,4,17,identity
3,20,17,identity
4,10,17,identity
5,16,17,identity
0,25,17,number
1,37,17,number
2,38,17,number
3,5,17,number
4,5,17,number
5,10,17,number
0,21,17,pose
1,63,17,pose
2,7,17,pose
3,2,17,pose
4,2,17,pose
5,11,17,pose
0,46,17,animacy
1,4,17,animacy
2,8,17,animacy
3,15,17,animacy
4,31,17,animacy
5,11,17,animacy
0,293,18,background
1,6,18,background
2,23,18,background
3,2,18,background
4,9,18,background
5,1,18,background
0,16,18,identity
1,1,18,identity
2,1,18,identity
3,2,18,identity
4,2,18,identity
5,2,18,identity
0,19,18,number
1,2,18,number
2,128,18,number
3,29,18,number
4,3,18,number
5,80,18,number
0,23,18,pose
1,2,18,pose
2,17,18,pose
3,172,18,pose
4,5,18,pose
5,5,18,pose
0,30,18,animacy
1,6,18,animacy
2,4,18,animacy
3,1,18,animacy
4,37,18,animacy
5,77,18,animacy
0,3,19,background
1,1,19,background
2,1,19,background
3,1,19,background
4,1,19,background
5,1,19,background
0,20,19,identity
1,7,19,identity
2,2,19,identity
3,1,19,identity
4,2,19,identity
5,1,19,identity
0,25,19,number
1,1,19,number
2,5,19,number
3,1,19,number
4,3,19,number
5,5,19,number
0,53,19,pose
1,6,19,pose
2,13,19,pose
3,3,19,pose
4,1,19,pose
5,5,19,pose
0,21,19,animacy
1,4,19,animacy
2,1,19,animacy
3,3,19,animacy
4,1,19,animacy
5,1,19,animacy
0,1,20,background
1,1,20,background
2,1,20,background
3,1,20,background
4,1,20,background
5,1,20,background
0,1,20,identity
1,1,20,identity
2,1,20,identity
3,1,20,identity
4,1,20,identity
5,1,20,identity
0,1,20,number
1,1,20,number
2,1,20,number
3,1,20,number
4,1,20,number
5,1,20,number
0,1,20,pose
1,1,20,pose
2,1,20,pose
3,1,20,pose
4,1,20,pose
5,1,20,pose
0,1,20,animacy
1,1,20,animacy
2,1,20,animacy
3,1,20,animacy
4,1,20,animacy
5,1,20,animacy
0,25,21,background
1,3,21,background
2,1,21,background
3,1,21,background
4,1,21,background
5,3,21,background
0,15,21,identity
1,2,21,identity
2,1,21,identity
3,2,21,identity
4,1,21,identity
5,1,21,identity
0,27,21,number
1,4,21,number
2,1,21,number
3,1,21,number
4,1,21,number
5,1,21,number
0,28,21,pose
1,1,21,pose
2,2,21,pose
3,2,21,pose
4,1,21,pose
5,1,21,pose
0,30,21,animacy
1,1,21,animacy
2,1,21,animacy
3,1,21,animacy
4,1,21,animacy
5,1,21,animacy
0,2,22,background
1,1,22,background
2,1,22,background
3,1,22,background
4,1,22,background
5,1,22,background
0,1,22,identity
1,1,22,identity
2,1,22,identity
3,1,22,identity
4,1,22,identity
5,1,22,identity
0,1,22,number
1,1,22,number
2,1,22,number
3,1,22,number
4,1,22,number
5,1,22,number
0,1,22,pose
1,1,22,pose
2,14,22,pose
3,3,22,pose
4,2,22,pose
5,2,22,pose
0,1,22,animacy
1,2,22,animacy
2,1,22,animacy
3,1,22,animacy
4,1,22,animacy
5,1,22,animacy
0,7,23,background
1,9,23,background
2,7,23,background
3,8,23,background
4,6,23,background
5,6,23,background
0,7,23,identity
1,6,23,identity
2,7,23,identity
3,8,23,identity
4,8,23,identity
5,7,23,identity
0,4,23,number
1,5,23,number
2,4,23,number
3,4,23,number
4,4,23,number
5,13,23,number
0,5,23,pose
1,6,23,pose
2,3,23,pose
3,6,23,pose
4,4,23,pose
5,3,23,pose
0,10,23,animacy
1,5,23,animacy
2,5,23,animacy
3,5,23,animacy
4,5,23,animacy
5,5,23,animacy
0,2,24,background
1,2,24,background
2,4,24,background
3,16,24,background
4,4,24,background
5,1,24,background
0,8,24,identity
1,2,24,identity
2,18,24,identity
3,18,24,identity
4,2,24,identity
5,1,24,identity
0,3,24,number
1,2,24,number
2,9,24,number
3,20,24,number
4,6,24,number
5,1,24,number
0,2,24,pose
1,3,24,pose
2,3,24,pose
3,51,24,pose
4,1,24,pose
5,1,24,pose
0,2,24,animacy
1,4,24,animacy
2,32,24,animacy
3,2,24,animacy
4,1,24,animacy
5,2,24,animacy
0,1,25,background
1,13,25,background
2,4,25,background
3,3,25,background
4,3,25,background
5,4,25,background
0,1,25,identity
1,1,25,identity
2,6,25,identity
3,4,25,identity
4,1,25,identity
5,2,25,identity
0,1,25,number
1,5,25,number
2,4,25,number
3,2,25,number
4,2,25,number
5,2,25,number
0,1,25,pose
1,1,25,pose
2,5,25,pose
3,3,25,pose
4,4,25,pose
5,1,25,pose
0,1,25,animacy
1,11,25,animacy
2,4,25,animacy
3,3,25,animacy
4,1,25,animacy
5,3,25,animacy
0,7,26,background
1,2,26,background
2,2,26,background
3,3,26,background
4,1,26,background
5,5,26,background
0,21,26,identity
1,58,26,identity
2,11,26,identity
3,9,26,identity
4,7,26,identity
5,7,26,identity
0,20,26,number
1,3,26,number
