param_id,r2,rmse,r2_lb,r2_ub,rmse_lb,rmse_ub
0,0.34145355465798943,4.064365657638555,0.2204912663029936,0.46758479965048083,2.815108237238987,5.917772005444007
1,0.2507428409391892,4.184047514516335,0.17954635496065763,0.32443793880052163,3.0438486566924725,6.485757996201014
2,0.3479749313229257,3.836115362233888,0.2513487525378576,0.46179413742714703,2.711398345052703,5.776409188047506
3,0.3755041002960175,3.8420500249324303,0.23593642679347165,0.504473934310444,2.647082130301297,5.906711234201444
4,0.3655399346901715,3.937796781080269,0.2630198702239763,0.47048973337243494,2.7408685206695513,6.123358752451444
5,0.33419259067686446,4.0157786968160885,0.2241790927576554,0.4505190954899375,2.8361302416461713,6.409552744300564
6,0.3089368577449662,4.118217502073957,0.18435651829166758,0.40287389177127725,2.8985893722297442,5.726962254716227
7,0.4127018786661686,3.9083562855435323,0.27905813977210436,0.5370538697440191,2.590997643863011,5.3162644764208515
8,0.31096388490271776,3.9546295786560135,0.20757435033088195,0.4223279331028806,2.8768242882137773,5.607604770051971
9,0.39314113345044965,3.817052012882988,0.2752168634252624,0.5137428929839422,2.76872451115029,5.303511732754952
10,0.3647118227608976,3.7697263201685915,0.24636200741768985,0.48578894351315594,2.607755988790426,5.2988812156475404
11,0.38763480158109614,3.726172762308824,0.24927397575375337,0.4952195835212667,2.8360256120451615,5.389348321781066
12,0.3410149277116526,3.86111056103634,0.22523888112436455,0.4448453801429958,2.8630181955722787,5.46500671583844
13,0.2998133484654266,4.1530501048801005,0.21655713538523108,0.379223546146615,3.120793463137037,6.282348919592803
14,0.35301046632695326,3.8263801510319473,0.25432465135668814,0.47302886848621983,2.786324521536128,5.521990558516457
15,0.3415378911767789,3.90610470315998,0.23406382587264446,0.46065467321735815,2.8290998624178405,5.15329501398849
16,0.2739846419546192,4.0135216989079,0.17448896831990618,0.37307111322888975,2.996649183605427,5.615513123687934
17,0.38024068270972267,3.8953201788154885,0.27541243552902245,0.48810578610395916,2.89849911704298,5.417793796214321
18,0.2830093676348889,4.093902042548976,0.18667000392606917,0.3758587069474176,2.9585286838607168,5.66810227236615
19,0.31827372529311787,4.076413058788712,0.20966006760484468,0.4155403040925316,2.9313955791197337,5.950402042854691
20,0.354809619996967,3.9353263122374917,0.2481819381370607,0.4693157307082382,2.6684628466797156,5.546866492345751
21,0.34477644284690656,4.024589625694553,0.22869452860047867,0.46433401935587926,3.009974566086199,5.870673572986153
22,0.3411646237337213,3.8854055854190848,0.2384912437935919,0.4386104446940656,2.8923520089045542,5.651312606094967
23,0.36487689704326487,3.9763148010886376,0.2607518393875413,0.4942813467424295,2.5099028030941373,5.941285001365175
24,0.24994884767733122,4.277491202768251,0.16180710954680963,0.34327889356252217,3.065669008157377,6.116599264219536
25,0.40869956916897987,3.6610176153205374,0.3020638642515859,0.5175092719401945,2.658509465540149,5.070777089301088
26,0.3965456719934333,3.6702546668043396,0.2829228278642506,0.5145497861004892,2.746750657391697,5.063921269543332
27,0.37097105114071444,3.8001309989019565,0.2218530367224495,0.4849393661768743,2.5734969303965247,5.75915916988334
28,0.3815498332004677,3.81437369440671,0.2534044934474967,0.4931024734777776,2.6779689728657843,5.310877313380893
29,0.3652219992757039,3.9745655100325274,0.2741761155381598,0.4617032821994869,2.784133310007197,5.564405313322828
30,0.31009131447342136,4.002871204218122,0.20513153445261062,0.4130361157639281,2.868147549001807,5.19803286233541
31,0.32044395698631,4.051106994145654,0.20998249225840623,0.43052467186464316,2.9645811539420976,5.866619690067779
32,0.37873039851664936,3.888168186603181,0.27800499186175764,0.4740484452548912,2.849228044094242,5.437108429073701
33,0.36692463888528765,3.861598012988429,0.26168291163152313,0.4681171306072538,2.7878636301584523,5.652393125770807
34,0.3544000591941569,3.8823769280874485,0.24131006001559624,0.4802154455871815,2.7074759179636194,5.354140191327502
35,0.4014044308978308,3.6798674181959417,0.24502127890327252,0.5284379552295263,2.3934516506319286,5.431200566685337
36,0.2516526434243242,4.002611076252888,0.16587264982022334,0.3348435535124779,3.0478650858113827,5.695460325521113
37,0.33787505033434195,3.969963770255745,0.23091114515275668,0.4455350581652604,2.766274374047991,5.594826812539081
38,0.3680535117365589,3.828127256748012,0.23913498318308551,0.478779271354842,2.6300637398515825,5.979670295447871
39,0.3247281381922025,3.9409377265242957,0.20804046366580942,0.4283559827759624,2.9104428432849963,5.802294884246852
40,0.374781969546195,3.921500774380167,0.260434978427757,0.4750221946730294,2.705235279774893,5.8745371579936405
41,0.27215477348395106,4.0975721054368375,0.18233485628341828,0.39040102405189026,3.170015147062558,5.79802550052236
42,0.271268612549598,4.181815658222892,0.17562302932241958,0.3719397821507622,2.997762389095223,5.684960838296095
43,0.2150238743103201,4.242594979545996,0.1508299453253977,0.3049842229905588,3.196414587089955,6.10440200086007
44,0.2971515731341585,4.049084053740078,0.1975795231409709,0.39365691280551507,2.81876429740122,5.979732357353559
45,0.2817547594839473,4.048986218335163,0.19092630080542727,0.3775380947991932,2.961341709768759,6.032988739652233
46,0.39004120156685534,3.8447949662576697,0.2709943056550482,0.4991238421256273,2.755376529796069,5.400949540563621
47,0.32279177898700634,3.94852736864598,0.218095399327477,0.4270996902335348,2.827850382206017,5.974258322312123
48,0.3042868087780766,3.981605351741974,0.1985476114552927,0.40154357233401017,2.9275753669655744,5.420833502850897
49,0.26547364005883206,4.1134803957285735,0.1667045147310789,0.35730697081201834,3.17770237299747,5.721969530414571
50,0.35718325739556606,3.820456984189774,0.2538307232305285,0.46031019778307863,2.786783926563693,5.177958991567827
51,0.3659687419046564,3.836682735019615,0.2512324387731496,0.47101049921072413,2.843608735451454,5.4444724476469055
52,0.3725593351884886,3.8237182755451418,0.2701069155352604,0.4670350605357025,2.8488593396162054,5.390614517763922
53,0.4216587364138175,3.7111850981974697,0.2920180089693783,0.5449612207024771,2.473400955635009,5.403081259361123
54,0.3651664291037731,3.8619720857609523,0.2549108977447861,0.4892503976750553,2.7583532197280163,5.8780078825399595
55,0.3323776974130148,3.9179407806857887,0.23649525732856336,0.448715277382982,2.7615148185435157,5.324890684336645
56,0.34540351887112736,3.9666193084464765,0.23063302666551788,0.4533182926824394,2.8376935586367598,5.569044300387077
57,0.3650280393228098,3.85796323599387,0.237748053913298,0.4606207540752818,2.770366533365187,6.07702906078585
58,0.35330901189771624,3.8249654230027206,0.26130093451316927,0.44630245618247916,2.7159948102689695,5.464156084578125
59,0.36740165163663135,3.806769460903177,0.24158468779441317,0.48785643907439136,2.6935901675933827,5.4687210910245785
60,0.374250387794159,3.788823785302015,0.22726541493071817,0.4976921130133811,2.5962953747526027,5.017234995028182
61,0.34013849568659527,3.9784849285643604,0.2526711688524469,0.44040016465143195,2.6978602227345396,5.513599815782687
62,0.33494290129808085,3.888771717468346,0.25026083781766517,0.44150508396744925,2.7828133997549807,5.342343688858098
63,0.31976575024630904,3.9322973466079816,0.2199155409632191,0.42119475583736743,2.8180413763860908,5.24405708929806
64,0.35662028239513405,3.864483505433946,0.24747845382098155,0.45878958375502565,2.7072868803534247,5.372525698562816
65,0.31552129492354525,3.8363369675785535,0.22704107714992272,0.41503544675451687,2.8935424792770945,5.319630606297816
66,0.29302460324766777,4.127226419970406,0.18757748719099415,0.38336534404824807,3.0390940676572855,5.926270024332815
67,0.3507771121243775,3.9609311535660776,0.2641714353862762,0.4546138911719645,2.899870738922078,5.50468986421816
68,0.3493142373764296,3.855472174979425,0.23286132769856724,0.46018211984374746,2.8963659833157154,5.541732708746106
69,0.4128375072473847,3.6166845622758745,0.26416898633847063,0.549136939757698,2.4246835759349183,5.854437018186081
