sd_epsilon,weig,v_prior,beta_prior,alpha_prior,fam_duration,test_type,stim_sequence,n_samples
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,0,fam,B,41.1525
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,1,fam,BB,33.33
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,1,nov,BD,47.2
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,2,fam,BBB,32.5225
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,2,nov,BBD,47.0125
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,3,fam,BBBB,28.14
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,3,nov,BBBD,48.9425
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,4,fam,BBBBB,23.8175
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,4,nov,BBBBD,50.275
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,5,fam,BBBBBB,22.24
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,5,nov,BBBBBD,50.9275
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,6,fam,BBBBBBB,18.8675
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,6,nov,BBBBBBD,41.9475
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,7,fam,BBBBBBBB,18.5875
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,7,nov,BBBBBBBD,52.64
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,8,fam,BBBBBBBBB,16.3025
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,8,nov,BBBBBBBBD,49.835
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,9,fam,BBBBBBBBBB,15.9025
0.1000000014901161,1e-05,1,0.1000000014901161,0.1000000014901161,9,nov,BBBBBBBBBD,40.51
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,0,fam,B,38.71
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,1,fam,BB,35.0875
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,1,nov,BD,45.315
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,2,fam,BBB,28.99
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,2,nov,BBD,47.2225
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,3,fam,BBBB,28.9225
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,3,nov,BBBD,41.9425
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,4,fam,BBBBB,20.9375
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,4,nov,BBBBD,43.75
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,5,fam,BBBBBB,18.1925
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,5,nov,BBBBBD,50.15
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,6,fam,BBBBBBB,18.0425
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,6,nov,BBBBBBD,50.48
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,7,fam,BBBBBBBB,19.4425
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,7,nov,BBBBBBBD,45.155
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,8,fam,BBBBBBBBB,16.5275
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,8,nov,BBBBBBBBD,39.34
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,9,fam,BBBBBBBBBB,14.1625
0.1000000014901161,1e-05,1,0.1000000014901161,1.0,9,nov,BBBBBBBBBD,46.12
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,0,fam,B,40.715
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,1,fam,BB,38.22
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,1,nov,BD,43.025
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,2,fam,BBB,32.4375
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,2,nov,BBD,51.1425
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,3,fam,BBBB,31.6125
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,3,nov,BBBD,50.545
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,4,fam,BBBBB,26.3425
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,4,nov,BBBBD,49.6775
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,5,fam,BBBBBB,24.485
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,5,nov,BBBBBD,50.2275
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,6,fam,BBBBBBB,20.325
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,6,nov,BBBBBBD,48.9875
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,7,fam,BBBBBBBB,17.925
0.1000000014901161,1e-05,1,0.1000000014901161,10.0,7,nov,BBBBBBBD,50.025
