param_id,trial_type,trial_number,count,sd_sample,mean_sample,ub_sample,lb_sample
0,background,1,840,6180.140155113159,124.7995238095238,145.6965629869901,103.90248463205751
0,background,2,760,5729.092050494398,113.77832045849837,134.14428952340435,93.41235139359239
0,background,3,680,4054.928923029308,56.024278193332044,71.26322192284951,40.785334463814586
0,background,4,600,3172.129406616499,37.867303538509425,50.5584643308465,25.176142746172353
0,background,5,520,2695.3905329283916,31.05515902366864,42.6388270458072,19.471491001530083
0,background,6,440,2144.774345961317,23.177178932178933,33.19749322829315,13.156864636064718
0,background,7,360,1681.9434399864037,17.798087757150256,26.485415628178664,9.110759886121848
0,background,8,280,1529.8748439372052,18.492310962846677,27.452206855502894,9.53241507019046
0,background,9,200,1240.7770226408209,16.99380194805195,25.59194804521978,8.395655850884117
0,background,10,120,769.2802191370552,11.271527777777777,18.153612552487857,4.389443003067697
0,background,11,40,411.5011481920433,10.177406135531136,16.553682487031683,3.8011297840305893
0,deviant,1,40,1354.527301506439,123.255,144.24361798564564,102.26638201435433
0,deviant,2,40,1420.6486711501266,142.21156984462905,164.22474906768616,120.19839062157195
0,deviant,3,40,1335.0257403470832,115.71354700854701,136.39998517334874,95.02710884374528
0,deviant,4,40,1281.0625088416066,117.90623376623377,137.7565029958802,98.05596453658733
0,deviant,5,40,1401.3925006699822,143.67314560439561,165.38794737457692,121.9583438342143
0,deviant,6,40,1314.694543227187,116.68004689754689,137.05144989911065,96.30864389598312
0,deviant,7,40,1281.0469158246706,115.92840187590188,135.77842948924769,96.07837426255608
0,deviant,8,40,1321.6802854093826,134.49139152514152,154.9710397232733,114.01174332700974
0,deviant,9,40,1199.6260673706417,97.79712301587301,116.38552151154197,79.20872452020406
0,deviant,10,40,1253.2885583803957,100.94041375291376,120.36032116147746,81.52050634435005
0,deviant,11,40,1142.5412595920243,86.82285173160173,104.52671196664137,69.11899149656209
1,background,1,840,4616.61944158505,59.335476190476186,74.94574956889424,43.725202812058136
1,background,2,760,4398.831860956163,58.70842857396528,74.3455439863848,43.07131316154577
1,background,3,680,3074.375794886939,31.09747396950997,42.651373095976595,19.543574843043345
1,background,4,600,2482.2851043277865,22.617524601989,32.54873337478916,12.68631582918884
1,background,5,520,1965.9809576537987,16.413424878437826,24.862393765542194,7.964455991333459
1,background,6,440,1601.2683313511827,13.092254665640361,20.573326967146993,5.61118236413373
1,background,7,360,1315.9371781400678,11.075984806088973,17.872870749097316,4.2790988630806295
1,background,8,280,1073.7901448638527,9.466498862518876,15.755279900175614,3.177717824862137
1,background,9,200,892.2031136484997,9.327075540064511,15.50972768425925,3.1444233958697723
1,background,10,120,580.7524918063968,6.834881050322227,12.030371305120621,1.6393907955238314
1,background,11,40,412.2310529765177,10.220930631868132,16.60851697517925,3.833344288557017
1,deviant,1,40,923.664472573638,49.652499999999996,63.964829282843034,35.34017071715696
1,deviant,2,40,1004.8963941771874,58.509934302668434,74.0809652513108,42.938903354026074
1,deviant,3,40,976.0479481119298,56.75747518423699,71.88149482991794,41.633455538556035
1,deviant,4,40,943.2697269773752,51.41934811920106,66.03546396635609,36.80323227204603
1,deviant,5,40,968.2484445980396,51.991923959361074,66.99508904600236,36.988758872719785
1,deviant,6,40,924.77773706674,50.21375774552245,64.54333724040383,35.88417825064108
1,deviant,7,40,818.8440156828692,38.01069257131757,50.698812047304436,25.322573095330704
1,deviant,8,40,927.7044405985065,48.54047619047619,62.91540542642012,34.16554695453226
1,deviant,9,40,857.8680655701846,42.33790872322122,55.63071211693106,29.04510532951138
1,deviant,10,40,911.7172048428445,48.84846178127428,62.97566623267614,34.72125732987242
1,deviant,11,40,931.9167594440149,52.405667561605064,66.84586735428402,37.9654677689261
2,background,1,839,687.8240327293021,2.1300357568533967,4.457175383304975,-0.1971038695981817
2,background,2,759,719.4061366666843,2.3830455585604327,4.942098825454282,-0.1760077083334166
2,background,3,679,610.2979363004856,2.1037167661421594,4.398983117472341,-0.1915495851880218
2,background,4,599,558.100705662355,2.048374971931777,4.283105882420703,-0.18635593855714827
2,background,5,520,295.1775736738819,1.3398076923076923,2.608358197048013,0.07125718756737154
2,background,6,440,351.14441473559,1.5672727272727272,3.2078077353500536,-0.07326228080459907
2,background,7,360,348.6470559041669,1.6939896036387263,3.4947703040484575,-0.10679109677100485
2,background,8,280,192.21501118881372,1.2681954887218045,2.393925803252168,0.1424651741914409
2,background,9,200,157.29756413946953,1.2519605263157896,2.3419770341338086,0.16194401849777051
2,background,10,120,220.66046792586832,1.839078947368421,3.813137305968261,-0.1349794112314191
2,background,11,40,109.34372409973972,1.61125,3.3055485584010866,-0.08304855840108649
2,deviant,1,40,193.2618689757501,2.87125,5.865873685039574,-0.1233736850395748
2,deviant,2,40,0,1,1,1
2,deviant,3,40,111.13257848173951,1.62125,3.3432671442235984,-0.10076714422359845
2,deviant,4,40,0,1,1,1
2,deviant,5,39,0,1,1,1
2,deviant,6,40,110.46175808848962,1.6175,3.329122674540157,-0.0941226745401571
2,deviant,7,40,110.23815129073962,1.61625,3.3244078513123427,-0.0919078513123428
2,deviant,8,40,190.5507806334049,2.845,5.797614935950843,-0.10761493595084293
2,deviant,9,40,0,1,1,1
2,deviant,10,40,0,1,1,1
2,deviant,11,40,112.1842938627047,1.6434210526315791,3.381734695520178,-0.0948925902570199
3,background,1,723,5943.945639759927,138.6230982019364,160.28675445846403,116.95944194540873
3,background,2,643,5795.369027728611,153.92447719829033,176.32208753298528,131.5268668635954
3,background,3,563,4114.329720707605,72.55738932717175,89.55042508189966,55.564353572443835
