"","subject_num","experiment","fam_or_test","unique_id","animal","block_num","test_type","fam_duration","LT","exclude","age","sex"
"30",3,"A","test","A_3",4,4,"nov","8",11.787,FALSE,316,"F"
"31",5,"A","test","A_5",11,2,"fam","0",58.006,FALSE,275," M"
"32",5,"A","test","A_5",10,4,"fam","0",8.905,FALSE,275," M"
"33",5,"A","fam","A_5",3,5,"nov","4",17.164,FALSE,275," M"
"34",5,"A","test","A_5",4,5,"nov","4",15.691,FALSE,275," M"
"35",5,"A","fam","A_5",5,6,"fam","4",11.13,FALSE,275," M"
"36",5,"A","test","A_5",5,6,"fam","4",3.805,FALSE,275," M"
"37",5,"A","fam","A_5",8,1,"nov","8",39.999,FALSE,275," M"
"38",5,"A","test","A_5",7,1,"nov","8",58.801,FALSE,275," M"
"39",5,"A","fam","A_5",2,3,"fam","8",39.12,FALSE,275," M"
"40",5,"A","test","A_5",2,3,"fam","8",11.123,FALSE,275," M"
"41",6,"A","test","A_6",9,2,"fam","0",23.318,FALSE,275,"F"
"42",6,"A","test","A_6",4,4,"fam","0",8.033,FALSE,275,"F"
"43",6,"A","fam","A_6",12,5,"nov","4",3.441,TRUE,275,"F"
"44",6,"A","test","A_6",11,5,"nov","4",0,TRUE,275,"F"
"45",6,"A","fam","A_6",1,6,"fam","4",6.74,TRUE,275,"F"
"46",6,"A","test","A_6",1,6,"fam","4",1.283,TRUE,275,"F"
"47",6,"A","fam","A_6",8,1,"nov","8",35.249,FALSE,275,"F"
"48",6,"A","test","A_6",7,1,"nov","8",44.204,FALSE,275,"F"
"49",6,"A","fam","A_6",5,3,"fam","8",38.225,FALSE,275,"F"
"50",6,"A","test","A_6",5,3,"fam","8",2.405,FALSE,275,"F"
"51",7,"A","test","A_7",1,2,"fam","0",22.259,FALSE,320,"M"
"52",7,"A","test","A_7",10,4,"fam","0",7.36,FALSE,320,"M"
"53",7,"A","fam","A_7",11,5,"nov","4",15.368,FALSE,320,"M"
"54",7,"A","test","A_7",12,5,"nov","4",5.643,FALSE,320,"M"
"55",7,"A","fam","A_7",7,6,"fam","4",8.33,FALSE,320,"M"
"56",7,"A","test","A_7",7,6,"fam","4",8.013,FALSE,320,"M"
"57",7,"A","fam","A_7",6,1,"nov","8",38.006,FALSE,320,"M"
"58",7,"A","test","A_7",5,1,"nov","8",15.07,FALSE,320,"M"
"59",7,"A","fam","A_7",4,3,"fam","8",23.633,FALSE,320,"M"
"60",7,"A","test","A_7",4,3,"fam","8",0.594000000000001,TRUE,320,"M"
"61",8,"A","test","A_8",5,1,"fam","0",33.645,FALSE,273,"M"
"62",8,"A","test","A_8",1,2,"fam","0",23.019,FALSE,273,"M"
"63",8,"A","fam","A_8",12,4,"fam","4",18.689,FALSE,273,"M"
"64",8,"A","test","A_8",12,4,"fam","4",32.374,FALSE,273,"M"
"65",8,"A","fam","A_8",8,6,"nov","4",10.434,FALSE,273,"M"
"66",8,"A","test","A_8",7,6,"nov","4",12.712,FALSE,273,"M"
"67",8,"A","fam","A_8",9,3,"nov","8",30.822,FALSE,273,"M"
"68",8,"A","test","A_8",10,3,"nov","8",38.008,FALSE,273,"M"
"69",8,"A","fam","A_8",4,5,"fam","8",34.32,FALSE,273,"M"
"70",8,"A","test","A_8",4,5,"fam","8",40.449,FALSE,273,"M"
"71",9,"A","test","A_9",9,1,"fam","0",26.735,FALSE,283,"M"
"72",9,"A","test","A_9",12,3,"fam","0",9.62899999999999,FALSE,283,"M"
"73",9,"A","fam","A_9",8,2,"fam","4",16.572,FALSE,283,"M"
"74",9,"A","test","A_9",8,2,"fam","4",8.15,FALSE,283,"M"
"75",9,"A","fam","A_9",6,4,"nov","4",12.939,FALSE,283,"M"
"76",9,"A","test","A_9",5,4,"nov","4",4.66,FALSE,283,"M"
"77",9,"A","fam","A_9",3,5,"nov","8",8.342,FALSE,283,"M"
"78",9,"A","test","A_9",4,5,"nov","8",4.423,FALSE,283,"M"
"79",9,"A","fam","A_9",1,6,"fam","8",21.05,FALSE,283,"M"
"80",9,"A","test","A_9",1,6,"fam","8",3.885,FALSE,283,"M"
"81",10,"A","test","A_10",2,3,"fam","0",11.42,FALSE,323,"M"
"82",10,"A","test","A_10",11,5,"fam","0",5.936,FALSE,323,"M"
"83",10,"A","fam","A_10",6,1,"fam","4",19.403,FALSE,323,"M"
"84",10,"A","test","A_10",6,1,"fam","4",9.157,FALSE,323,"M"
"85",10,"A","fam","A_10",8,2,"nov","4",18.884,FALSE,323,"M"
"86",10,"A","test","A_10",7,2,"nov","4",15.1,FALSE,323,"M"
"87",10,"A","fam","A_10",3,4,"fam","8",7.97199999999999,FALSE,323,"M"
"88",10,"A","test","A_10",3,4,"fam","8",0,TRUE,323,"M"
"89",10,"A","fam","A_10",9,6,"nov","8",6.56999999999998,FALSE,323,"M"
"90",10,"A","test","A_10",10,6,"nov","8",0,TRUE,323,"M"
"91",11,"A","test","A_11",12,5,"fam","0",23.253,FALSE,274,"F"
"92",11,"A","test","A_11",1,6,"fam","0",22.519,FALSE,274,"F"
"93",11,"A","fam","A_11",4,1,"nov","4",19.92,FALSE,274,"F"
"94",11,"A","test","A_11",3,1,"nov","4",30.998,FALSE,274,"F"
"95",11,"A","fam","A_11",7,3,"fam","4",18.087,FALSE,274,"F"
"96",11,"A","test","A_11",7,3,"fam","4",52.815,FALSE,274,"F"
"97",11,"A","fam","A_11",9,2,"fam","8",35.892,FALSE,274,"F"
"98",11,"A","test","A_11",9,2,"fam","8",14.291,FALSE,274,"F"
"99",11,"A","fam","A_11",6,4,"nov","8",34.901,FALSE,274,"F"
"100",11,"A","test","A_11",5,4,"nov","8",21.826,FALSE,274,"F"
"101",12,"A","test","A_12",1,1,"fam","0",15.96,FALSE,322,"F"
"102",12,"A","test","A_12",6,2,"fam","0",34.552,FALSE,322,"F"
"103",12,"A","fam","A_12",8,4,"fam","4",8.251,FALSE,322,"F"
