prolific_id,rt,block_type,fam_trial,background,deviant,block_id,exp
60c0fe89173c2b1f4fe2c578,6870,all_background,0,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,1,experiment048
60c0fe89173c2b1f4fe2c578,2288,deviant,4,media/animal_stim/whitened/002_left_2.gif,media/animal_stim/whitened/002_left_1.gif,2,experiment048
60c0fe89173c2b1f4fe2c578,2083,all_background,8,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_left_1.gif,3,experiment048
60c0fe89173c2b1f4fe2c578,3226,all_background,4,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_right_1.gif,4,experiment048
60c0fe89173c2b1f4fe2c578,2708,deviant,8,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_left_1.gif,5,experiment048
5b47f9a8890de80001b68055,416,all_background,4,media/animal_stim/whitened/005_left_2.gif,media/animal_stim/whitened/005_left_1.gif,1,experiment048
60c0fe89173c2b1f4fe2c578,9470,deviant,0,media/animal_stim/whitened/004_right_2.gif,media/animal_stim/whitened/004_right_1.gif,6,experiment048
5b47f9a8890de80001b68055,1053,deviant,4,media/animal_stim/whitened/004_left_1.gif,media/animal_stim/whitened/004_left_2.gif,2,experiment048
5b47f9a8890de80001b68055,432,deviant,0,media/animal_stim/whitened/001_right_2.gif,media/animal_stim/whitened/001_right_1.gif,3,experiment048
6103476f4843a26b2d4e48c3,5245,all_background,8,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_right_2.gif,1,experiment048
5b47f9a8890de80001b68055,3798,deviant,8,media/animal_stim/whitened/002_right_2.gif,media/animal_stim/whitened/002_left_1.gif,4,experiment048
6103476f4843a26b2d4e48c3,6483,deviant,8,media/animal_stim/whitened/001_left_1.gif,media/animal_stim/whitened/001_left_2.gif,2,experiment048
6103476f4843a26b2d4e48c3,2832,all_background,4,media/animal_stim/whitened/005_right_1.gif,media/animal_stim/whitened/005_right_2.gif,3,experiment048
5b47f9a8890de80001b68055,508,all_background,8,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,5,experiment048
6103476f4843a26b2d4e48c3,6505,all_background,0,media/animal_stim/whitened/002_right_1.gif,media/animal_stim/whitened/002_right_2.gif,4,experiment048
5b47f9a8890de80001b68055,965,all_background,0,media/animal_stim/whitened/003_left_2.gif,media/animal_stim/whitened/003_left_1.gif,6,experiment048
6103476f4843a26b2d4e48c3,3528,deviant,4,media/animal_stim/whitened/003_right_1.gif,media/animal_stim/whitened/003_right_2.gif,5,experiment048
6103476f4843a26b2d4e48c3,4764,deviant,0,media/animal_stim/whitened/006_right_2.gif,media/animal_stim/whitened/006_right_1.gif,6,experiment048
60f9de2d1846b79ba86bf597,3465,deviant,0,media/animal_stim/whitened/005_left_1.gif,media/animal_stim/whitened/005_right_2.gif,1,experiment048
5b27c8c9051c6e00019d0c96,9488,all_background,4,media/animal_stim/whitened/004_right_1.gif,media/animal_stim/whitened/004_left_2.gif,1,experiment048
